ts,buy,sell,api_version,scope,interval,symbol,endpoint,path,fetched_at
2025-11-07 12:00:00+00:00,72271727.8841,67661745.8166,v4,symbol_interval,4h,LTC,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-23T00:57:16.151871+00:00
2025-11-07 16:00:00+00:00,188383513.5421,171886469.2661,v4,symbol_interval,4h,LTC,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-23T00:57:16.151871+00:00
2025-11-07 20:00:00+00:00,41935788.9585,48098165.4234,v4,symbol_interval,4h,LTC,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-23T00:57:16.151871+00:00
2025-11-08 00:00:00+00:00,43823067.3115,42383416.5045,v4,symbol_interval,4h,LTC,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-23T00:57:16.151871+00:00
2025-11-08 04:00:00+00:00,39195716.6899,47298100.1691,v4,symbol_interval,4h,LTC,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-23T00:57:16.151871+00:00
2025-11-08 08:00:00+00:00,42112715.8314,46885453.5049,v4,symbol_interval,4h,LTC,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-23T00:57:16.151871+00:00
2025-11-08 12:00:00+00:00,39139163.004,43911831.4827,v4,symbol_interval,4h,LTC,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-23T00:57:16.151871+00:00
2025-11-08 16:00:00+00:00,38766528.5807,34672783.4347,v4,symbol_interval,4h,LTC,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:11:41.559644+00:00
2025-11-08 20:00:00+00:00,43332724.7548,33497711.264,v4,symbol_interval,4h,LTC,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:11:41.559644+00:00
2025-11-09 00:00:00+00:00,114847643.8973,128668400.3989,v4,symbol_interval,4h,LTC,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:11:41.559644+00:00
2025-11-09 04:00:00+00:00,33961602.5227,30541133.5116,v4,symbol_interval,4h,LTC,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:11:41.559644+00:00
2025-11-09 08:00:00+00:00,90518634.1079,93241045.3419,v4,symbol_interval,4h,LTC,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:11:41.559644+00:00
2025-11-09 12:00:00+00:00,114300173.0148,114975840.0359,v4,symbol_interval,4h,LTC,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:11:41.559644+00:00
2025-11-09 16:00:00+00:00,59326420.1022,61736731.2991,v4,symbol_interval,4h,LTC,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:11:41.559644+00:00
2025-11-09 20:00:00+00:00,81733804.4708,80291965.6187,v4,symbol_interval,4h,LTC,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:11:41.559644+00:00
2025-11-10 00:00:00+00:00,62076217.3578,67066973.4407,v4,symbol_interval,4h,LTC,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:11:41.559644+00:00
2025-11-10 04:00:00+00:00,27074955.9094,33496630.3557,v4,symbol_interval,4h,LTC,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:11:41.559644+00:00
2025-11-10 08:00:00+00:00,34577993.2657,38570301.119,v4,symbol_interval,4h,LTC,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:11:41.559644+00:00
2025-11-10 12:00:00+00:00,58363346.9766,62410011.8544,v4,symbol_interval,4h,LTC,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:11:41.559644+00:00
2025-11-10 16:00:00+00:00,45782156.7357,44147257.7218,v4,symbol_interval,4h,LTC,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:11:41.559644+00:00
2025-11-10 20:00:00+00:00,41334975.6393,48675070.7259,v4,symbol_interval,4h,LTC,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:11:41.559644+00:00
2025-11-11 00:00:00+00:00,43171822.0757,44388777.3852,v4,symbol_interval,4h,LTC,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:11:41.559644+00:00
2025-11-11 04:00:00+00:00,30085815.1704,35372365.9422,v4,symbol_interval,4h,LTC,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:11:41.559644+00:00
2025-11-11 08:00:00+00:00,20735609.0518,19708945.5385,v4,symbol_interval,4h,LTC,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:11:41.559644+00:00
2025-11-11 12:00:00+00:00,45856214.9441,55699026.1852,v4,symbol_interval,4h,LTC,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:11:41.559644+00:00
2025-11-11 16:00:00+00:00,23225271.6819,23898429.7485,v4,symbol_interval,4h,LTC,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:11:41.559644+00:00
2025-11-11 20:00:00+00:00,24714506.8547,25807502.6683,v4,symbol_interval,4h,LTC,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:11:41.559644+00:00
2025-11-12 00:00:00+00:00,20268174.9127,19331357.6528,v4,symbol_interval,4h,LTC,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:11:41.559644+00:00
2025-11-12 04:00:00+00:00,12637831.6007,12010682.6499,v4,symbol_interval,4h,LTC,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:11:41.559644+00:00
2025-11-12 08:00:00+00:00,43747975.3629,40971834.0659,v4,symbol_interval,4h,LTC,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:11:41.559644+00:00
2025-11-12 12:00:00+00:00,47064371.7697,55111307.8998,v4,symbol_interval,4h,LTC,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:11:41.559644+00:00
