ts,open,high,low,close,api_version,scope,interval,symbol,endpoint,path,fetched_at
2025-11-07 12:00:00+00:00,0.009289,0.009829,0.007209,0.007209,v4,symbol_interval,4h,SUI,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-23T00:59:34.237949+00:00
2025-11-07 16:00:00+00:00,0.007209,0.007209,0.001287,0.001287,v4,symbol_interval,4h,SUI,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-23T00:59:34.237949+00:00
2025-11-07 20:00:00+00:00,0.001287,0.004832,0.000818,0.004832,v4,symbol_interval,4h,SUI,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-23T00:59:34.237949+00:00
2025-11-08 00:00:00+00:00,0.004832,0.007775,0.004432,0.007225,v4,symbol_interval,4h,SUI,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-23T00:59:34.237949+00:00
2025-11-08 04:00:00+00:00,0.007225,0.009497,-0.003837,0.007283,v4,symbol_interval,4h,SUI,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-23T00:59:34.237949+00:00
2025-11-08 08:00:00+00:00,0.007283,0.007283,0.003934,0.00426,v4,symbol_interval,4h,SUI,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-23T00:59:34.237949+00:00
2025-11-08 12:00:00+00:00,0.00426,0.006812,0.003465,0.00656,v4,symbol_interval,4h,SUI,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-23T00:59:34.237949+00:00
2025-11-08 16:00:00+00:00,0.00656,0.006998,0.001928,0.002011,v4,symbol_interval,4h,SUI,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:14:49.531796+00:00
2025-11-08 20:00:00+00:00,0.002011,0.00442,0.00132,0.004006,v4,symbol_interval,4h,SUI,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:14:49.531796+00:00
2025-11-09 00:00:00+00:00,0.004006,0.007502,0.003168,0.007432,v4,symbol_interval,4h,SUI,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:14:49.531796+00:00
2025-11-09 04:00:00+00:00,0.007432,0.007723,0.004843,0.004843,v4,symbol_interval,4h,SUI,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:14:49.531796+00:00
2025-11-09 08:00:00+00:00,0.004843,0.006908,0.002539,0.006861,v4,symbol_interval,4h,SUI,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:14:49.531796+00:00
2025-11-09 12:00:00+00:00,0.006861,0.007113,0.00331,0.00331,v4,symbol_interval,4h,SUI,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:14:49.531796+00:00
2025-11-09 16:00:00+00:00,0.00331,0.004843,0.000526,0.001628,v4,symbol_interval,4h,SUI,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:14:49.531796+00:00
2025-11-09 20:00:00+00:00,0.001628,0.00245,-0.000233,0.00245,v4,symbol_interval,4h,SUI,fr_vol_weight,futures/funding-rate/vol-weight-history,2026-04-24T04:14:49.531796+00:00
