ts,open,high,low,close,api_version,scope,interval,symbol,endpoint,path,fetched_at
2025-11-07 12:00:00+00:00,373643387,374080613,367657638,368232584,v4,symbol_interval,4h,TRX,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-23T00:57:55.067790+00:00
2025-11-07 16:00:00+00:00,368232584,391137943,368092961,391129991,v4,symbol_interval,4h,TRX,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-23T00:57:55.067790+00:00
2025-11-07 20:00:00+00:00,391129991,392603249,391129991,391197852,v4,symbol_interval,4h,TRX,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-23T00:57:55.067790+00:00
2025-11-08 00:00:00+00:00,391197852,391636485,385923056,385923056,v4,symbol_interval,4h,TRX,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-23T00:57:55.067790+00:00
2025-11-08 04:00:00+00:00,385923056,385967503,378526976,379169914,v4,symbol_interval,4h,TRX,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-23T00:57:55.067790+00:00
2025-11-08 08:00:00+00:00,379169914,380507330,379044102,379073546,v4,symbol_interval,4h,TRX,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-23T00:57:55.067790+00:00
2025-11-08 12:00:00+00:00,379073546,379146702,372768928,373080400,v4,symbol_interval,4h,TRX,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-23T00:57:55.067790+00:00
2025-11-08 16:00:00+00:00,373080400,373080400,371565416,371785885,v4,symbol_interval,4h,TRX,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:12:52.020468+00:00
2025-11-08 20:00:00+00:00,371785885,371975394,371253377,371449290,v4,symbol_interval,4h,TRX,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:12:52.020468+00:00
2025-11-09 00:00:00+00:00,371449290,371694370,370067602,370235491,v4,symbol_interval,4h,TRX,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:12:52.020468+00:00
2025-11-09 04:00:00+00:00,370235491,370630674,370148669,370231844,v4,symbol_interval,4h,TRX,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:12:52.020468+00:00
2025-11-09 08:00:00+00:00,370231844,370273034,369360849,369609094,v4,symbol_interval,4h,TRX,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:12:52.020468+00:00
2025-11-09 12:00:00+00:00,369609094,369617397,367760875,368128809,v4,symbol_interval,4h,TRX,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:12:52.020468+00:00
2025-11-09 16:00:00+00:00,368128809,368128809,366497219,366880381,v4,symbol_interval,4h,TRX,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:12:52.020468+00:00
2025-11-09 20:00:00+00:00,366880381,366885604,365726041,366365033,v4,symbol_interval,4h,TRX,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:12:52.020468+00:00
2025-11-10 00:00:00+00:00,366365033,371809863,366309393,371266560,v4,symbol_interval,4h,TRX,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:12:52.020468+00:00
2025-11-10 04:00:00+00:00,371266560,380825031,370938925,375188441,v4,symbol_interval,4h,TRX,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:12:52.020468+00:00
2025-11-10 08:00:00+00:00,375188441,375249622,373782416,373959886,v4,symbol_interval,4h,TRX,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:12:52.020468+00:00
2025-11-10 12:00:00+00:00,373959886,373966269,370049865,372539380,v4,symbol_interval,4h,TRX,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:12:52.020468+00:00
2025-11-10 16:00:00+00:00,372539380,374170042,370613722,373901748,v4,symbol_interval,4h,TRX,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:12:52.020468+00:00
2025-11-10 20:00:00+00:00,373901748,373947875,370361845,371821331,v4,symbol_interval,4h,TRX,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:12:52.020468+00:00
2025-11-11 00:00:00+00:00,371821331,377261018,371738501,375331858,v4,symbol_interval,4h,TRX,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:12:52.020468+00:00
2025-11-11 04:00:00+00:00,375331858,375331858,368504944,369405002,v4,symbol_interval,4h,TRX,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:12:52.020468+00:00
2025-11-11 08:00:00+00:00,369405002,378373655,369405002,378191017,v4,symbol_interval,4h,TRX,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:12:52.020468+00:00
2025-11-11 12:00:00+00:00,378191017,383220561,377271218,382274749,v4,symbol_interval,4h,TRX,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:12:52.020468+00:00
2025-11-11 16:00:00+00:00,382274749,386063016,379225939,379225939,v4,symbol_interval,4h,TRX,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:12:52.020468+00:00
2025-11-11 20:00:00+00:00,379225939,380230495,376692895,380143356,v4,symbol_interval,4h,TRX,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:12:52.020468+00:00
2025-11-12 00:00:00+00:00,380143356,380503302,377401309,378958515,v4,symbol_interval,4h,TRX,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:12:52.020468+00:00
2025-11-12 04:00:00+00:00,378958515,379719789,375392554,375468756,v4,symbol_interval,4h,TRX,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:12:52.020468+00:00
2025-11-12 08:00:00+00:00,375468756,375606836,370363662,370363662,v4,symbol_interval,4h,TRX,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:12:52.020468+00:00
2025-11-12 12:00:00+00:00,370363662,370556947,362835044,365545193,v4,symbol_interval,4h,TRX,oi_stablecoin,futures/open-interest/aggregated-stablecoin-history,2026-04-24T04:12:52.020468+00:00
