ts,buy,sell,api_version,scope,interval,symbol,endpoint,path,fetched_at
2025-08-16 06:00:00+00:00,42633598.0935,42309219.7865,v4,symbol_interval,6h,AVAX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-23T01:00:17.374755+00:00
2025-08-16 12:00:00+00:00,54796315.9274,55771774.8008,v4,symbol_interval,6h,AVAX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-23T01:00:17.374755+00:00
2025-08-16 18:00:00+00:00,26751367.8189,27028051.5918,v4,symbol_interval,6h,AVAX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-23T01:00:17.374755+00:00
2025-08-17 00:00:00+00:00,34555983.2679,32080240.5216,v4,symbol_interval,6h,AVAX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-23T01:00:17.374755+00:00
2025-08-17 06:00:00+00:00,43455463.9304,42116971.2386,v4,symbol_interval,6h,AVAX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:57.307609+00:00
2025-08-17 12:00:00+00:00,84200479.5076,85545626.6465,v4,symbol_interval,6h,AVAX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:57.307609+00:00
2025-08-17 18:00:00+00:00,61453218.7536,62524050.7021,v4,symbol_interval,6h,AVAX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:57.307609+00:00
2025-08-18 00:00:00+00:00,105029190.8874,121608272.9548,v4,symbol_interval,6h,AVAX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:57.307609+00:00
2025-08-18 06:00:00+00:00,66144439.4878,69185397.8894,v4,symbol_interval,6h,AVAX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:57.307609+00:00
2025-08-18 12:00:00+00:00,83969165.0241,92111396.2345,v4,symbol_interval,6h,AVAX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:57.307609+00:00
2025-08-18 18:00:00+00:00,46263792.0312,47728097.2491,v4,symbol_interval,6h,AVAX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:57.307609+00:00
2025-08-19 00:00:00+00:00,68332902.8283,74451826.3177,v4,symbol_interval,6h,AVAX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:57.307609+00:00
2025-08-19 06:00:00+00:00,49987804.2287,49924262.5726,v4,symbol_interval,6h,AVAX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:57.307609+00:00
2025-08-19 12:00:00+00:00,98220519.0594,104642935.9676,v4,symbol_interval,6h,AVAX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:57.307609+00:00
2025-08-19 18:00:00+00:00,48790603.8867,52342043.0575,v4,symbol_interval,6h,AVAX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:57.307609+00:00
2025-08-20 00:00:00+00:00,40476267.1448,41370105.3727,v4,symbol_interval,6h,AVAX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:57.307609+00:00
2025-08-20 06:00:00+00:00,38633592.3527,41193644.6293,v4,symbol_interval,6h,AVAX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:57.307609+00:00
2025-08-20 12:00:00+00:00,95674583.7101,97505452.6824,v4,symbol_interval,6h,AVAX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:57.307609+00:00
2025-08-20 18:00:00+00:00,46141785.7683,50156631.9478,v4,symbol_interval,6h,AVAX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:57.307609+00:00
2025-08-21 00:00:00+00:00,41845313.5874,41501359.4691,v4,symbol_interval,6h,AVAX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:57.307609+00:00
2025-08-21 06:00:00+00:00,36935414.1936,38877409.8734,v4,symbol_interval,6h,AVAX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:57.307609+00:00
2025-08-21 12:00:00+00:00,71586140.6231,76240156.722,v4,symbol_interval,6h,AVAX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:57.307609+00:00
2025-08-21 18:00:00+00:00,33502077.8652,33900844.0152,v4,symbol_interval,6h,AVAX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:57.307609+00:00
2025-08-22 00:00:00+00:00,43380692.1023,45380069.8174,v4,symbol_interval,6h,AVAX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:57.307609+00:00
2025-08-22 06:00:00+00:00,45848589.6608,45943403.9935,v4,symbol_interval,6h,AVAX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:57.307609+00:00
2025-08-22 12:00:00+00:00,254223130.789,248332596.8008,v4,symbol_interval,6h,AVAX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:57.307609+00:00
2025-08-22 18:00:00+00:00,65070666.6129,75871530.9056,v4,symbol_interval,6h,AVAX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:57.307609+00:00
2025-08-23 00:00:00+00:00,76264071.8413,75400732.3539,v4,symbol_interval,6h,AVAX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:57.307609+00:00
2025-08-23 06:00:00+00:00,105428630.1511,97778434.538,v4,symbol_interval,6h,AVAX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:57.307609+00:00
2025-08-23 12:00:00+00:00,189723902.4106,181206362.2072,v4,symbol_interval,6h,AVAX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:57.307609+00:00
2025-08-23 18:00:00+00:00,52689066.333,49919484.4442,v4,symbol_interval,6h,AVAX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:57.307609+00:00
2025-08-24 00:00:00+00:00,51499429.4235,56142067.2713,v4,symbol_interval,6h,AVAX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:57.307609+00:00
2025-08-24 06:00:00+00:00,60899090.5993,73900385.0275,v4,symbol_interval,6h,AVAX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:57.307609+00:00
2025-08-24 12:00:00+00:00,86390397.3097,83141491.625,v4,symbol_interval,6h,AVAX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:57.307609+00:00
2025-08-24 18:00:00+00:00,179354116.8376,186763708.8617,v4,symbol_interval,6h,AVAX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:57.307609+00:00
2025-08-25 00:00:00+00:00,69241718.0606,78021686.2854,v4,symbol_interval,6h,AVAX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:57.307609+00:00
2025-08-25 06:00:00+00:00,97702297.5108,115255582.608,v4,symbol_interval,6h,AVAX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:57.307609+00:00
2025-08-25 12:00:00+00:00,80182061.9482,86008101.1447,v4,symbol_interval,6h,AVAX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:57.307609+00:00
2025-08-25 18:00:00+00:00,117725713.5801,125999444.9689,v4,symbol_interval,6h,AVAX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:57.307609+00:00
2025-08-26 00:00:00+00:00,55619340.1028,58647101.2765,v4,symbol_interval,6h,AVAX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:57.307609+00:00
2025-08-26 06:00:00+00:00,54091014.0141,53463117.5906,v4,symbol_interval,6h,AVAX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:57.307609+00:00
2025-08-26 12:00:00+00:00,104970901.3703,105586533.5649,v4,symbol_interval,6h,AVAX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:57.307609+00:00
2025-08-26 18:00:00+00:00,54347229.7895,52047913.9576,v4,symbol_interval,6h,AVAX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:57.307609+00:00
2025-08-27 00:00:00+00:00,53723010.3248,51826953.4443,v4,symbol_interval,6h,AVAX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:57.307609+00:00
2025-08-27 06:00:00+00:00,42300407.5911,45693785.2552,v4,symbol_interval,6h,AVAX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:57.307609+00:00
2025-08-27 12:00:00+00:00,110891052.9142,113274769.1303,v4,symbol_interval,6h,AVAX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:57.307609+00:00
2025-08-27 18:00:00+00:00,102462584.5393,115661762.6794,v4,symbol_interval,6h,AVAX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:57.307609+00:00
2025-08-28 00:00:00+00:00,56775660.5024,59287082.9497,v4,symbol_interval,6h,AVAX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:57.307609+00:00
2025-08-28 06:00:00+00:00,47907422.793,50553892.1143,v4,symbol_interval,6h,AVAX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:57.307609+00:00
2025-08-28 12:00:00+00:00,110318871.1982,114999833.1034,v4,symbol_interval,6h,AVAX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:57.307609+00:00
2025-08-28 18:00:00+00:00,49919633.6437,51420059.4515,v4,symbol_interval,6h,AVAX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:57.307609+00:00
2025-08-29 00:00:00+00:00,71251601.1242,72318849.5573,v4,symbol_interval,6h,AVAX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:57.307609+00:00
2025-08-29 06:00:00+00:00,90161295.7297,104171791.0778,v4,symbol_interval,6h,AVAX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:57.307609+00:00
2025-08-29 12:00:00+00:00,128628888.9316,135606215.3454,v4,symbol_interval,6h,AVAX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:57.307609+00:00
2025-08-29 18:00:00+00:00,50423685.9027,52757975.2182,v4,symbol_interval,6h,AVAX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:57.307609+00:00
2025-08-30 00:00:00+00:00,41623117.8136,42677598.8996,v4,symbol_interval,6h,AVAX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:57.307609+00:00
2025-08-30 06:00:00+00:00,31754432.1158,33772754.6912,v4,symbol_interval,6h,AVAX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:57.307609+00:00
