ts,long_quantity,short_quantity,api_version,scope,interval,symbol,endpoint,path,fetched_at
2025-10-25 00:00:00+00:00,61448.01,190.16,v4,symbol_interval,6h,BTC,bitfinex_margin,bitfinex-margin-long-short,2026-04-22T21:28:12.216825+00:00
2025-10-25 06:00:00+00:00,61461.24,189.8,v4,symbol_interval,6h,BTC,bitfinex_margin,bitfinex-margin-long-short,2026-04-23T01:02:45.534689+00:00
2025-10-25 12:00:00+00:00,61476.36,189.45,v4,symbol_interval,6h,BTC,bitfinex_margin,bitfinex-margin-long-short,2026-04-23T01:02:45.534689+00:00
2025-10-25 18:00:00+00:00,61555.02,192.31,v4,symbol_interval,6h,BTC,bitfinex_margin,bitfinex-margin-long-short,2026-04-23T01:02:45.534689+00:00
2025-10-26 00:00:00+00:00,61554.58,191.75,v4,symbol_interval,6h,BTC,bitfinex_margin,bitfinex-margin-long-short,2026-04-23T01:02:45.534689+00:00
2025-10-26 06:00:00+00:00,61551.4,190.34,v4,symbol_interval,6h,BTC,bitfinex_margin,bitfinex-margin-long-short,2026-04-24T04:19:34.813002+00:00
2025-10-26 12:00:00+00:00,61618.8,171.74,v4,symbol_interval,6h,BTC,bitfinex_margin,bitfinex-margin-long-short,2026-04-24T04:19:34.813002+00:00
2025-10-26 18:00:00+00:00,61609.15,189.23,v4,symbol_interval,6h,BTC,bitfinex_margin,bitfinex-margin-long-short,2026-04-24T04:19:34.813002+00:00
2025-10-27 00:00:00+00:00,61599.13,198.7,v4,symbol_interval,6h,BTC,bitfinex_margin,bitfinex-margin-long-short,2026-04-24T04:19:34.813002+00:00
2025-10-27 06:00:00+00:00,61577.42,201.02,v4,symbol_interval,6h,BTC,bitfinex_margin,bitfinex-margin-long-short,2026-04-24T04:19:34.813002+00:00
2025-10-27 12:00:00+00:00,61590.01,192.36,v4,symbol_interval,6h,BTC,bitfinex_margin,bitfinex-margin-long-short,2026-04-24T04:19:34.813002+00:00
2025-10-27 18:00:00+00:00,61589.61,195.49,v4,symbol_interval,6h,BTC,bitfinex_margin,bitfinex-margin-long-short,2026-04-24T04:19:34.813002+00:00
