ts,buy,sell,api_version,scope,interval,symbol,endpoint,path,fetched_at
2025-08-16 00:00:00+00:00,1135940652.7173,1133330976.2727,v4,symbol_interval,6h,BTC,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-22T21:26:43.929841+00:00
2025-08-16 06:00:00+00:00,1025511531.4322,1036843816.6115,v4,symbol_interval,6h,BTC,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-23T01:00:02.698886+00:00
2025-08-16 12:00:00+00:00,792319295.9749,871977491.0215,v4,symbol_interval,6h,BTC,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-23T01:00:02.698886+00:00
2025-08-16 18:00:00+00:00,531669972.3519,717504815.1108,v4,symbol_interval,6h,BTC,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-23T01:00:02.698886+00:00
2025-08-17 00:00:00+00:00,1064463409.7844,891705287.7777,v4,symbol_interval,6h,BTC,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-23T01:00:02.698886+00:00
2025-08-17 06:00:00+00:00,955175741.9936,936125271.0878,v4,symbol_interval,6h,BTC,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:34.122309+00:00
2025-08-17 12:00:00+00:00,1134474897.3267,1435726321.9544,v4,symbol_interval,6h,BTC,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:34.122309+00:00
2025-08-17 18:00:00+00:00,895026355.0683,1074289501.5031,v4,symbol_interval,6h,BTC,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:34.122309+00:00
2025-08-18 00:00:00+00:00,3838035021.1109,5002240840.153,v4,symbol_interval,6h,BTC,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:34.122309+00:00
2025-08-18 06:00:00+00:00,2267920331.628,2565923904.9965,v4,symbol_interval,6h,BTC,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:34.122309+00:00
2025-08-18 12:00:00+00:00,3419575364.839,3177101566.4223,v4,symbol_interval,6h,BTC,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:34.122309+00:00
2025-08-18 18:00:00+00:00,1227146927.0615,1370753063.2469,v4,symbol_interval,6h,BTC,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:34.122309+00:00
2025-08-19 00:00:00+00:00,2449461232.3526,2895445222.3643,v4,symbol_interval,6h,BTC,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:34.122309+00:00
2025-08-19 06:00:00+00:00,1454818860.6523,1295523670.8986,v4,symbol_interval,6h,BTC,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:34.122309+00:00
2025-08-19 12:00:00+00:00,4495902376.3875,5019665736.319,v4,symbol_interval,6h,BTC,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:34.122309+00:00
2025-08-19 18:00:00+00:00,2062411423.3037,2165920854.8335,v4,symbol_interval,6h,BTC,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:34.122309+00:00
2025-08-20 00:00:00+00:00,1967793476.7448,1820130371.8358,v4,symbol_interval,6h,BTC,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:34.122309+00:00
2025-08-20 06:00:00+00:00,1539512963.4744,1586778235.2704,v4,symbol_interval,6h,BTC,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:34.122309+00:00
2025-08-20 12:00:00+00:00,4461553800.2337,4742956651.612,v4,symbol_interval,6h,BTC,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:34.122309+00:00
2025-08-20 18:00:00+00:00,1893635227.0221,1790182335.754,v4,symbol_interval,6h,BTC,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:34.122309+00:00
2025-08-21 00:00:00+00:00,1524522134.9131,1396478637.1525,v4,symbol_interval,6h,BTC,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:34.122309+00:00
