ts,buy,sell,api_version,scope,interval,symbol,endpoint,path,fetched_at
2025-08-16 06:00:00+00:00,236792762.752,292700144.074,v4,symbol_interval,6h,DOGE,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-23T01:00:12.667355+00:00
2025-08-16 12:00:00+00:00,226876209.0411,211162067.5786,v4,symbol_interval,6h,DOGE,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-23T01:00:12.667355+00:00
2025-08-16 18:00:00+00:00,80773901.9477,82663954.9198,v4,symbol_interval,6h,DOGE,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-23T01:00:12.667355+00:00
2025-08-17 00:00:00+00:00,205737971.677,217306822.7124,v4,symbol_interval,6h,DOGE,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-23T01:00:12.667355+00:00
2025-08-17 06:00:00+00:00,163339136.0147,183871278.1225,v4,symbol_interval,6h,DOGE,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:51.532784+00:00
2025-08-17 12:00:00+00:00,355387511.1555,374331989.5005,v4,symbol_interval,6h,DOGE,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:51.532784+00:00
2025-08-17 18:00:00+00:00,241889736.2986,261615095.8869,v4,symbol_interval,6h,DOGE,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:51.532784+00:00
2025-08-18 00:00:00+00:00,372957783.0317,437372412.7016,v4,symbol_interval,6h,DOGE,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:51.532784+00:00
2025-08-18 06:00:00+00:00,209941916.4667,233409613.9024,v4,symbol_interval,6h,DOGE,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:51.532784+00:00
2025-08-18 12:00:00+00:00,263994017.994,274934446.6186,v4,symbol_interval,6h,DOGE,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:51.532784+00:00
2025-08-18 18:00:00+00:00,148751999.3466,160087283.9454,v4,symbol_interval,6h,DOGE,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:51.532784+00:00
2025-08-19 00:00:00+00:00,325545506.6966,365269906.572,v4,symbol_interval,6h,DOGE,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:51.532784+00:00
