ts,open_basis,close_basis,open_change,close_change,api_version,scope,interval,symbol,endpoint,path,fetched_at
2025-08-16 00:00:00+00:00,0.0523,0.0357,2.32,1.58,v4,symbol_interval,6h,ETH,basis,futures/basis/history,2026-04-22T21:26:59.664416+00:00
2025-08-16 06:00:00+00:00,0.0357,0.0451,1.58,1.98,v4,symbol_interval,6h,ETH,basis,futures/basis/history,2026-04-23T01:00:26.384582+00:00
2025-08-16 12:00:00+00:00,0.0451,0.0361,1.98,1.59,v4,symbol_interval,6h,ETH,basis,futures/basis/history,2026-04-23T01:00:26.384582+00:00
2025-08-16 18:00:00+00:00,0.0375,0.04,1.65,1.77,v4,symbol_interval,6h,ETH,basis,futures/basis/history,2026-04-23T01:00:26.384582+00:00
2025-08-17 00:00:00+00:00,0.0403,0.0465,1.78,2.08,v4,symbol_interval,6h,ETH,basis,futures/basis/history,2026-04-23T01:00:26.384582+00:00
2025-08-17 06:00:00+00:00,0.0463,0.0462,2.07,2.1,v4,symbol_interval,6h,ETH,basis,futures/basis/history,2026-04-24T04:16:13.120994+00:00
2025-08-17 12:00:00+00:00,0.0462,0.0502,2.1,2.27,v4,symbol_interval,6h,ETH,basis,futures/basis/history,2026-04-24T04:16:13.120994+00:00
2025-08-17 18:00:00+00:00,0.05,0.0374,2.26,1.67,v4,symbol_interval,6h,ETH,basis,futures/basis/history,2026-04-24T04:16:13.120994+00:00
2025-08-18 00:00:00+00:00,0.0376,0.0313,1.68,1.35,v4,symbol_interval,6h,ETH,basis,futures/basis/history,2026-04-24T04:16:13.120994+00:00
2025-08-18 06:00:00+00:00,0.0311,0.0342,1.34,1.46,v4,symbol_interval,6h,ETH,basis,futures/basis/history,2026-04-24T04:16:13.120994+00:00
2025-08-18 12:00:00+00:00,0.0342,0.0426,1.46,1.85,v4,symbol_interval,6h,ETH,basis,futures/basis/history,2026-04-24T04:16:13.120994+00:00
2025-08-18 18:00:00+00:00,0.0426,0.0292,1.85,1.26,v4,symbol_interval,6h,ETH,basis,futures/basis/history,2026-04-24T04:16:13.120994+00:00
2025-08-19 00:00:00+00:00,0.0295,0.0376,1.27,1.59,v4,symbol_interval,6h,ETH,basis,futures/basis/history,2026-04-24T04:16:13.120994+00:00
2025-08-19 06:00:00+00:00,0.0376,0.0378,1.59,1.63,v4,symbol_interval,6h,ETH,basis,futures/basis/history,2026-04-24T04:16:13.120994+00:00
2025-08-19 12:00:00+00:00,0.0383,0.0418,1.65,1.75,v4,symbol_interval,6h,ETH,basis,futures/basis/history,2026-04-24T04:16:13.120994+00:00
2025-08-19 18:00:00+00:00,0.0416,0.0405,1.74,1.65,v4,symbol_interval,6h,ETH,basis,futures/basis/history,2026-04-24T04:16:13.120994+00:00
2025-08-20 00:00:00+00:00,0.0405,0.0543,1.65,2.27,v4,symbol_interval,6h,ETH,basis,futures/basis/history,2026-04-24T04:16:13.120994+00:00
2025-08-20 06:00:00+00:00,0.0545,0.0432,2.28,1.81,v4,symbol_interval,6h,ETH,basis,futures/basis/history,2026-04-24T04:16:13.120994+00:00
2025-08-20 12:00:00+00:00,0.0432,0.0495,1.81,2.15,v4,symbol_interval,6h,ETH,basis,futures/basis/history,2026-04-24T04:16:13.120994+00:00
