ts,buy,sell,api_version,scope,interval,symbol,endpoint,path,fetched_at
2025-08-16 00:00:00+00:00,1711055553.9283,2039327061.0718,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-22T21:26:33.745180+00:00
2025-08-16 06:00:00+00:00,2303470146.8629,2719300515.9426,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-23T00:59:40.016432+00:00
2025-08-16 12:00:00+00:00,1727223338.8474,1727979092.6093,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-23T00:59:40.016432+00:00
2025-08-16 18:00:00+00:00,980787983.585,884685015.5975,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-23T00:59:40.016432+00:00
2025-08-17 00:00:00+00:00,1760542445.4064,1669389091.8891,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-23T00:59:40.016432+00:00
2025-08-17 06:00:00+00:00,2866847065.4397,2735801004.542,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-08-17 12:00:00+00:00,2026313493.3674,2357484583.7776,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-08-17 18:00:00+00:00,2472984669.268,2756176539.6555,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-08-18 00:00:00+00:00,5872007443.3302,6345508918.7113,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-08-18 06:00:00+00:00,4651691699.4649,4780511681.8222,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-08-18 12:00:00+00:00,4801132387.0279,4848756404.2403,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-08-18 18:00:00+00:00,2111563742.6697,2164532940.4243,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-08-19 00:00:00+00:00,3663734481.2604,4165973928.6539,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-08-19 06:00:00+00:00,2420693114.7782,2264678051.0002,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-08-19 12:00:00+00:00,6344625386.1395,6611407718.3531,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-08-19 18:00:00+00:00,3003916948.9256,3729736502.3923,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-08-20 00:00:00+00:00,3096557094.6159,2759183118.0228,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-08-20 06:00:00+00:00,2941953163.2341,3371372734.1813,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-08-20 12:00:00+00:00,7228336514.1497,7047200307.5928,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-08-20 18:00:00+00:00,2888706200.7534,3048892591.1927,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-08-21 00:00:00+00:00,1966310982.7362,2080005540.9953,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-08-21 06:00:00+00:00,2082622219.9933,2212053902.2579,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-08-21 12:00:00+00:00,4307829908.9679,4717488993.7407,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-08-21 18:00:00+00:00,1828163271.5086,1884069926.4105,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-08-22 00:00:00+00:00,2067448564.037,1964200741.3127,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-08-22 06:00:00+00:00,2813289469.3716,2893100793.1958,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-08-22 12:00:00+00:00,16165748320.0942,16327468611.7238,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-08-22 18:00:00+00:00,5472382705.2831,5620630717.4217,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-08-23 00:00:00+00:00,4040560421.349,4443298790.3461,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-08-23 06:00:00+00:00,1857993725.2043,2038232090.8138,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-08-23 12:00:00+00:00,2270463469.4615,2261792300.0647,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-08-23 18:00:00+00:00,1054750496.3622,962551884.7699,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-08-24 00:00:00+00:00,1615645398.5117,1644682058.7807,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-08-24 06:00:00+00:00,1834008677.682,2033750247.7974,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-08-24 12:00:00+00:00,4144414145.7452,3673833791.8934,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-08-24 18:00:00+00:00,7531046611.9279,8115559145.1868,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-08-25 00:00:00+00:00,3128594382.378,3483634020.121,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-08-25 06:00:00+00:00,5310300216.3276,5877460852.0578,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-08-25 12:00:00+00:00,5172339434.2471,5372142789.8003,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-08-25 18:00:00+00:00,6200488705.7266,6987087858.3346,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-08-26 00:00:00+00:00,3662182621.6618,3631201089.1015,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-08-26 06:00:00+00:00,2435084102.8252,2405959265.2403,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-08-26 12:00:00+00:00,6486345567.9742,6669241048.4481,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-08-26 18:00:00+00:00,2719280334.7984,2579699549.0796,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-08-27 00:00:00+00:00,2561611141.9867,2744591019.5463,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-08-27 06:00:00+00:00,2305620453.293,2424415880.2806,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-08-27 12:00:00+00:00,4242903780.5908,4477068579.0052,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-08-27 18:00:00+00:00,3659850045.8245,4043694946.6084,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-08-28 00:00:00+00:00,2140833277.3724,2086227600.8584,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-08-28 06:00:00+00:00,1883384795.5501,1944892735.7089,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-08-28 12:00:00+00:00,3908755268.7607,4249003728.7719,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-08-28 18:00:00+00:00,1945985787.0902,1905919274.1507,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-08-29 00:00:00+00:00,1720109144.7144,1815653315.0333,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-08-29 06:00:00+00:00,3512760269.0815,3799602430.4808,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-08-29 12:00:00+00:00,6111022420.9164,6332703281.3687,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-08-29 18:00:00+00:00,1852835385.1287,1959248444.3742,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-08-30 00:00:00+00:00,2767463990.6622,2917799624.516,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-08-30 06:00:00+00:00,1216645319.1868,1246819581.3194,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-08-30 12:00:00+00:00,1561664908.7486,1694161379.3632,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-08-30 18:00:00+00:00,701344535.5294,696392791.587,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-08-31 00:00:00+00:00,2241539243.6138,2186107150.1321,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-08-31 06:00:00+00:00,1452393692.3621,1453240241.5759,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-08-31 12:00:00+00:00,1741761560.3356,1667223436.1885,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-08-31 18:00:00+00:00,1499206491.8072,1810049918.868,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-09-01 00:00:00+00:00,2588413255.0091,2517429957.0109,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-09-01 06:00:00+00:00,3163488181.2557,3118034991.5383,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-09-01 12:00:00+00:00,2530061637.2125,2807661868.9223,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-09-01 18:00:00+00:00,3328090040.4116,3720634237.4161,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-09-02 00:00:00+00:00,1923585281.0489,1879241078.5223,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-09-02 06:00:00+00:00,1818816782.2992,2119453523.1055,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-09-02 12:00:00+00:00,5146305312.391,5104271182.7176,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-09-02 18:00:00+00:00,1995263861.8836,2061032821.9572,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-09-03 00:00:00+00:00,1503183123.6332,1589313461.8058,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-09-03 06:00:00+00:00,1932452471.0844,2001724839.7411,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-09-03 12:00:00+00:00,3987636366.404,3998330940.8388,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-09-03 18:00:00+00:00,967944039.1023,1063515220.2435,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-09-04 00:00:00+00:00,2425625892.4885,2668191573.8004,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-09-04 06:00:00+00:00,2037259486.8433,1896326176.7943,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-09-04 12:00:00+00:00,4005373519.5261,4422757623.7798,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-09-04 18:00:00+00:00,1934658914.1095,1952397951.4737,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-09-05 00:00:00+00:00,1403129256.6875,1320119209.4605,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-09-05 06:00:00+00:00,3122263434.4442,3140008459.874,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-09-05 12:00:00+00:00,7614705377.8769,7733764488.4129,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-09-05 18:00:00+00:00,1568286247.5776,1671716015.9552,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-09-06 00:00:00+00:00,691481284.1555,808777637.761,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-09-06 06:00:00+00:00,637096263.4523,657684027.237,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-09-06 12:00:00+00:00,2185277761.3865,2413186433.0529,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-09-06 18:00:00+00:00,887341062.489,914533636.1504,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-09-07 00:00:00+00:00,736608404.8459,704324385.6534,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-09-07 06:00:00+00:00,914992807.2003,967956071.9348,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-09-07 12:00:00+00:00,968274981.481,1072451687.3471,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-09-07 18:00:00+00:00,1001120690.2317,985677387.4261,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-09-08 00:00:00+00:00,1161116990.7303,1282244573.3039,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-09-08 06:00:00+00:00,1878867154.6556,1856011722.7905,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-09-08 12:00:00+00:00,3151734249.2362,3170191425.1506,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-09-08 18:00:00+00:00,1443545145.3647,1377947085.0301,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-09-09 00:00:00+00:00,1157078656.7425,1261188736.4268,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-09-09 06:00:00+00:00,2138986597.0049,2265396951.9688,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-09-09 12:00:00+00:00,3267155920.357,3522015610.7566,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-09-09 18:00:00+00:00,768492116.4712,752957518.6509,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-09-10 00:00:00+00:00,1138672187.7874,1128549843.1026,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-09-10 06:00:00+00:00,1131824838.7964,1220070565.701,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-09-10 12:00:00+00:00,5429491794.3988,5324241014.6092,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-09-10 18:00:00+00:00,1903645224.8539,2044325151.2878,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-09-11 00:00:00+00:00,1666029025.8586,1651459210.4833,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-09-11 06:00:00+00:00,2061117186.66,1908592422.1174,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
2025-09-11 12:00:00+00:00,4438342787.2684,4589719651.7533,v4,symbol_interval,6h,ETH,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:00.884723+00:00
