ts,open_basis,close_basis,open_change,close_change,api_version,scope,interval,symbol,endpoint,path,fetched_at
2025-08-16 06:00:00+00:00,0.0369,0.0373,0.008,0.008,v4,symbol_interval,6h,LINK,basis,futures/basis/history,2026-04-23T01:00:46.174081+00:00
2025-08-16 12:00:00+00:00,0.0793,0.0227,0.017,0.005,v4,symbol_interval,6h,LINK,basis,futures/basis/history,2026-04-23T01:00:46.174081+00:00
2025-08-16 18:00:00+00:00,0.0273,0.0575,0.006,0.013,v4,symbol_interval,6h,LINK,basis,futures/basis/history,2026-04-23T01:00:46.174081+00:00
2025-08-17 00:00:00+00:00,0.053,0.0574,0.012,0.014,v4,symbol_interval,6h,LINK,basis,futures/basis/history,2026-04-23T01:00:46.174081+00:00
2025-08-17 06:00:00+00:00,0.0123,0.0527,0.003,0.013,v4,symbol_interval,6h,LINK,basis,futures/basis/history,2026-04-24T04:16:31.893122+00:00
2025-08-17 12:00:00+00:00,0.0527,-0.0193,0.013,-0.005,v4,symbol_interval,6h,LINK,basis,futures/basis/history,2026-04-24T04:16:31.893122+00:00
2025-08-17 18:00:00+00:00,0.0154,0.0039,0.004,0.001,v4,symbol_interval,6h,LINK,basis,futures/basis/history,2026-04-24T04:16:31.893122+00:00
2025-08-18 00:00:00+00:00,0.0078,0.0283,0.002,0.007,v4,symbol_interval,6h,LINK,basis,futures/basis/history,2026-04-24T04:16:31.893122+00:00
2025-08-18 06:00:00+00:00,0.0647,0.0693,0.016,0.017,v4,symbol_interval,6h,LINK,basis,futures/basis/history,2026-04-24T04:16:31.893122+00:00
2025-08-18 12:00:00+00:00,0.0326,-0.004,0.008,-0.001,v4,symbol_interval,6h,LINK,basis,futures/basis/history,2026-04-24T04:16:31.893122+00:00
2025-08-18 18:00:00+00:00,0.0437,0.0582,0.011,0.015,v4,symbol_interval,6h,LINK,basis,futures/basis/history,2026-04-24T04:16:31.893122+00:00
2025-08-19 00:00:00+00:00,0.0931,0.0577,0.024,0.014,v4,symbol_interval,6h,LINK,basis,futures/basis/history,2026-04-24T04:16:31.893122+00:00
2025-08-19 06:00:00+00:00,0.0536,0.0405,0.013,0.01,v4,symbol_interval,6h,LINK,basis,futures/basis/history,2026-04-24T04:16:31.893122+00:00
2025-08-19 12:00:00+00:00,0.0405,0.0291,0.01,0.007,v4,symbol_interval,6h,LINK,basis,futures/basis/history,2026-04-24T04:16:31.893122+00:00
2025-08-19 18:00:00+00:00,-0.0042,0.0297,-0.001,0.007,v4,symbol_interval,6h,LINK,basis,futures/basis/history,2026-04-24T04:16:31.893122+00:00
2025-08-20 00:00:00+00:00,0.0297,0.0448,0.007,0.011,v4,symbol_interval,6h,LINK,basis,futures/basis/history,2026-04-24T04:16:31.893122+00:00
2025-08-20 06:00:00+00:00,0.0448,0.004,0.011,0.001,v4,symbol_interval,6h,LINK,basis,futures/basis/history,2026-04-24T04:16:31.893122+00:00
2025-08-20 12:00:00+00:00,-0.0361,0.0694,-0.009,0.018,v4,symbol_interval,6h,LINK,basis,futures/basis/history,2026-04-24T04:16:31.893122+00:00
2025-08-20 18:00:00+00:00,0.0656,0.0151,0.017,0.004,v4,symbol_interval,6h,LINK,basis,futures/basis/history,2026-04-24T04:16:31.893122+00:00
2025-08-21 00:00:00+00:00,0.0151,0.0698,0.004,0.018,v4,symbol_interval,6h,LINK,basis,futures/basis/history,2026-04-24T04:16:31.893122+00:00
2025-08-21 06:00:00+00:00,0.0698,0.0575,0.018,0.015,v4,symbol_interval,6h,LINK,basis,futures/basis/history,2026-04-24T04:16:31.893122+00:00
2025-08-21 12:00:00+00:00,0.0613,0.0282,0.016,0.007,v4,symbol_interval,6h,LINK,basis,futures/basis/history,2026-04-24T04:16:31.893122+00:00
2025-08-21 18:00:00+00:00,0.0241,0.0645,0.006,0.016,v4,symbol_interval,6h,LINK,basis,futures/basis/history,2026-04-24T04:16:31.893122+00:00
2025-08-22 00:00:00+00:00,0.0685,0.0565,0.017,0.014,v4,symbol_interval,6h,LINK,basis,futures/basis/history,2026-04-24T04:16:31.893122+00:00
2025-08-22 06:00:00+00:00,0.0565,0.0617,0.014,0.015,v4,symbol_interval,6h,LINK,basis,futures/basis/history,2026-04-24T04:16:31.893122+00:00
2025-08-22 12:00:00+00:00,0.0617,-0.0074,0.015,-0.002,v4,symbol_interval,6h,LINK,basis,futures/basis/history,2026-04-24T04:16:31.893122+00:00
2025-08-22 18:00:00+00:00,-0.0111,-0.0373,-0.003,-0.01,v4,symbol_interval,6h,LINK,basis,futures/basis/history,2026-04-24T04:16:31.893122+00:00
2025-08-23 00:00:00+00:00,0.0037,0.0267,0.001,0.007,v4,symbol_interval,6h,LINK,basis,futures/basis/history,2026-04-24T04:16:31.893122+00:00
2025-08-23 06:00:00+00:00,0.0343,0.0546,0.009,0.014,v4,symbol_interval,6h,LINK,basis,futures/basis/history,2026-04-24T04:16:31.893122+00:00
2025-08-23 12:00:00+00:00,0.0507,0.0307,0.013,0.008,v4,symbol_interval,6h,LINK,basis,futures/basis/history,2026-04-24T04:16:31.893122+00:00
2025-08-23 18:00:00+00:00,0.0691,0.0152,0.018,0.004,v4,symbol_interval,6h,LINK,basis,futures/basis/history,2026-04-24T04:16:31.893122+00:00
2025-08-24 00:00:00+00:00,0.0152,0.0039,0.004,0.001,v4,symbol_interval,6h,LINK,basis,futures/basis/history,2026-04-24T04:16:31.893122+00:00
2025-08-24 06:00:00+00:00,0.0078,-0.0118,0.002,-0.003,v4,symbol_interval,6h,LINK,basis,futures/basis/history,2026-04-24T04:16:31.893122+00:00
2025-08-24 12:00:00+00:00,-0.0118,0.0346,-0.003,0.009,v4,symbol_interval,6h,LINK,basis,futures/basis/history,2026-04-24T04:16:31.893122+00:00
