ts,buy,sell,api_version,scope,interval,symbol,endpoint,path,fetched_at
2025-08-16 06:00:00+00:00,67537023.1401,66216549.6206,v4,symbol_interval,6h,LINK,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-23T01:00:14.881026+00:00
2025-08-16 12:00:00+00:00,68036239.457,68241521.8196,v4,symbol_interval,6h,LINK,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-23T01:00:14.881026+00:00
2025-08-16 18:00:00+00:00,84527941.8973,82926760.0739,v4,symbol_interval,6h,LINK,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-23T01:00:14.881026+00:00
2025-08-17 00:00:00+00:00,154116667.3193,151554086.1372,v4,symbol_interval,6h,LINK,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-23T01:00:14.881026+00:00
2025-08-17 06:00:00+00:00,179096370.9291,174261468.9606,v4,symbol_interval,6h,LINK,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:54.422704+00:00
2025-08-17 12:00:00+00:00,341486157.1928,345381309.0601,v4,symbol_interval,6h,LINK,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:54.422704+00:00
2025-08-17 18:00:00+00:00,171416769.603,175102106.3245,v4,symbol_interval,6h,LINK,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:54.422704+00:00
2025-08-18 00:00:00+00:00,398073477.3335,421223257.7213,v4,symbol_interval,6h,LINK,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:54.422704+00:00
2025-08-18 06:00:00+00:00,223845558.4193,221060361.5164,v4,symbol_interval,6h,LINK,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:54.422704+00:00
2025-08-18 12:00:00+00:00,340637395.8494,354620123.103,v4,symbol_interval,6h,LINK,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:54.422704+00:00
2025-08-18 18:00:00+00:00,246062063.4278,234401990.4726,v4,symbol_interval,6h,LINK,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:54.422704+00:00
2025-08-19 00:00:00+00:00,256833971.4798,275895136.828,v4,symbol_interval,6h,LINK,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:54.422704+00:00
2025-08-19 06:00:00+00:00,190210914.2563,190283401.3266,v4,symbol_interval,6h,LINK,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:54.422704+00:00
2025-08-19 12:00:00+00:00,266329844.7892,297903734.9498,v4,symbol_interval,6h,LINK,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:54.422704+00:00
2025-08-19 18:00:00+00:00,143195061.9194,156934934.5399,v4,symbol_interval,6h,LINK,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:54.422704+00:00
2025-08-20 00:00:00+00:00,188460360.7229,178667775.5607,v4,symbol_interval,6h,LINK,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:54.422704+00:00
2025-08-20 06:00:00+00:00,213721376.0396,222816192.8523,v4,symbol_interval,6h,LINK,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:54.422704+00:00
2025-08-20 12:00:00+00:00,448739868.8701,458941062.3059,v4,symbol_interval,6h,LINK,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:54.422704+00:00
2025-08-20 18:00:00+00:00,208838389.4252,215547013.301,v4,symbol_interval,6h,LINK,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:54.422704+00:00
2025-08-21 00:00:00+00:00,191918569.9625,206717057.2561,v4,symbol_interval,6h,LINK,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:54.422704+00:00
2025-08-21 06:00:00+00:00,182099535.8732,191811344.8717,v4,symbol_interval,6h,LINK,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:54.422704+00:00
2025-08-21 12:00:00+00:00,274938569.2543,315397626.092,v4,symbol_interval,6h,LINK,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:54.422704+00:00
2025-08-21 18:00:00+00:00,105412444.4452,106587270.7199,v4,symbol_interval,6h,LINK,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:54.422704+00:00
2025-08-22 00:00:00+00:00,113908063.2302,113589682.9843,v4,symbol_interval,6h,LINK,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:54.422704+00:00
2025-08-22 06:00:00+00:00,148332954.729,159861919.5745,v4,symbol_interval,6h,LINK,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:54.422704+00:00
2025-08-22 12:00:00+00:00,529015061.8682,556881280.6787,v4,symbol_interval,6h,LINK,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:54.422704+00:00
2025-08-22 18:00:00+00:00,162255075.386,159300893.4268,v4,symbol_interval,6h,LINK,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:54.422704+00:00
2025-08-23 00:00:00+00:00,150019396.6055,157176645.4726,v4,symbol_interval,6h,LINK,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:54.422704+00:00
2025-08-23 06:00:00+00:00,109679495.3251,124523269.1618,v4,symbol_interval,6h,LINK,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:54.422704+00:00
2025-08-23 12:00:00+00:00,146047552.2214,136632203.1488,v4,symbol_interval,6h,LINK,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:15:54.422704+00:00
