ts,buy,sell,api_version,scope,interval,symbol,endpoint,path,fetched_at
2025-08-16 06:00:00+00:00,60389407.2039,58720751.0585,v4,symbol_interval,6h,LINK,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-23T00:59:51.912888+00:00
2025-08-16 12:00:00+00:00,59933440.8117,60152110.6495,v4,symbol_interval,6h,LINK,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-23T00:59:51.912888+00:00
2025-08-16 18:00:00+00:00,73203911.7019,71467581.7203,v4,symbol_interval,6h,LINK,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-23T00:59:51.912888+00:00
2025-08-17 00:00:00+00:00,133795243.0637,131242005.7779,v4,symbol_interval,6h,LINK,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-23T00:59:51.912888+00:00
2025-08-17 06:00:00+00:00,157053305.4025,150549461.8115,v4,symbol_interval,6h,LINK,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:19.376254+00:00
2025-08-17 12:00:00+00:00,303100428.6004,303331374.3067,v4,symbol_interval,6h,LINK,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:19.376254+00:00
2025-08-17 18:00:00+00:00,147833685.2268,150854320.6224,v4,symbol_interval,6h,LINK,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:19.376254+00:00
2025-08-18 00:00:00+00:00,355171702.6648,372520125.2666,v4,symbol_interval,6h,LINK,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:19.376254+00:00
2025-08-18 06:00:00+00:00,196605748.8608,194022070.5313,v4,symbol_interval,6h,LINK,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:19.376254+00:00
2025-08-18 12:00:00+00:00,297985673.463,311152919.3009,v4,symbol_interval,6h,LINK,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:19.376254+00:00
2025-08-18 18:00:00+00:00,212986508.391,202825254.6097,v4,symbol_interval,6h,LINK,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:19.376254+00:00
2025-08-19 00:00:00+00:00,225711848.6384,239800063.4274,v4,symbol_interval,6h,LINK,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:19.376254+00:00
2025-08-19 06:00:00+00:00,166937366.5717,168109881.0925,v4,symbol_interval,6h,LINK,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:19.376254+00:00
2025-08-19 12:00:00+00:00,229289907.542,256515012.9744,v4,symbol_interval,6h,LINK,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:19.376254+00:00
2025-08-19 18:00:00+00:00,120875791.3494,131400844.3504,v4,symbol_interval,6h,LINK,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:19.376254+00:00
2025-08-20 00:00:00+00:00,161053008.0488,153546142.7867,v4,symbol_interval,6h,LINK,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:19.376254+00:00
2025-08-20 06:00:00+00:00,175327316.134,183312461.2553,v4,symbol_interval,6h,LINK,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:19.376254+00:00
2025-08-20 12:00:00+00:00,393684109.4809,401642440.7301,v4,symbol_interval,6h,LINK,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:19.376254+00:00
2025-08-20 18:00:00+00:00,180893738.0626,186410510.207,v4,symbol_interval,6h,LINK,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:19.376254+00:00
2025-08-21 00:00:00+00:00,169711360.8143,180849229.3701,v4,symbol_interval,6h,LINK,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:19.376254+00:00
2025-08-21 06:00:00+00:00,161277416.6348,171667014.728,v4,symbol_interval,6h,LINK,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:19.376254+00:00
2025-08-21 12:00:00+00:00,243797010.6123,278640801.9033,v4,symbol_interval,6h,LINK,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:19.376254+00:00
2025-08-21 18:00:00+00:00,91465902.5882,92170662.5754,v4,symbol_interval,6h,LINK,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:19.376254+00:00
2025-08-22 00:00:00+00:00,100445753.8736,98634409.7223,v4,symbol_interval,6h,LINK,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:19.376254+00:00
2025-08-22 06:00:00+00:00,130925677.1439,141058308.5288,v4,symbol_interval,6h,LINK,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:19.376254+00:00
2025-08-22 12:00:00+00:00,460380716.9635,485583864.6011,v4,symbol_interval,6h,LINK,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:19.376254+00:00
2025-08-22 18:00:00+00:00,142468104.3908,138915376.8733,v4,symbol_interval,6h,LINK,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:19.376254+00:00
2025-08-23 00:00:00+00:00,134384262.8103,138923390.1702,v4,symbol_interval,6h,LINK,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:19.376254+00:00
2025-08-23 06:00:00+00:00,97835919.8362,108456331.6393,v4,symbol_interval,6h,LINK,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:19.376254+00:00
2025-08-23 12:00:00+00:00,126676990.802,119401033.2615,v4,symbol_interval,6h,LINK,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:19.376254+00:00
2025-08-23 18:00:00+00:00,60255788.4046,59914326.8271,v4,symbol_interval,6h,LINK,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:19.376254+00:00
2025-08-24 00:00:00+00:00,71422172.5701,83650453.8516,v4,symbol_interval,6h,LINK,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:19.376254+00:00
2025-08-24 06:00:00+00:00,90464529.1212,107475720.7746,v4,symbol_interval,6h,LINK,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:19.376254+00:00
2025-08-24 12:00:00+00:00,116401280.8841,113177710.1558,v4,symbol_interval,6h,LINK,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:19.376254+00:00
2025-08-24 18:00:00+00:00,215207739.8064,245875408.9077,v4,symbol_interval,6h,LINK,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:19.376254+00:00
2025-08-25 00:00:00+00:00,118540194.9427,120450691.8762,v4,symbol_interval,6h,LINK,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:19.376254+00:00
2025-08-25 06:00:00+00:00,177992528.9739,204930325.7883,v4,symbol_interval,6h,LINK,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:19.376254+00:00
2025-08-25 12:00:00+00:00,115041128.9242,116028791.9418,v4,symbol_interval,6h,LINK,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:19.376254+00:00
2025-08-25 18:00:00+00:00,173877034.1104,207717615.5112,v4,symbol_interval,6h,LINK,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:19.376254+00:00
2025-08-26 00:00:00+00:00,92149090.5228,83973459.8075,v4,symbol_interval,6h,LINK,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:19.376254+00:00
2025-08-26 06:00:00+00:00,123305503.8135,122488566.9388,v4,symbol_interval,6h,LINK,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:19.376254+00:00
2025-08-26 12:00:00+00:00,173253080.3838,166436474.5758,v4,symbol_interval,6h,LINK,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:19.376254+00:00
2025-08-26 18:00:00+00:00,92029223.5748,85662134.9614,v4,symbol_interval,6h,LINK,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:19.376254+00:00
2025-08-27 00:00:00+00:00,76013133.3564,86534816.2694,v4,symbol_interval,6h,LINK,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:19.376254+00:00
2025-08-27 06:00:00+00:00,76614589.6321,87988019.6994,v4,symbol_interval,6h,LINK,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:19.376254+00:00
2025-08-27 12:00:00+00:00,102381526.777,105570235.2176,v4,symbol_interval,6h,LINK,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:19.376254+00:00
2025-08-27 18:00:00+00:00,126201770.5442,138353185.7532,v4,symbol_interval,6h,LINK,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:19.376254+00:00
2025-08-28 00:00:00+00:00,69541509.7625,71555397.8353,v4,symbol_interval,6h,LINK,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:19.376254+00:00
2025-08-28 06:00:00+00:00,82522773.7881,82132815.1327,v4,symbol_interval,6h,LINK,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:19.376254+00:00
2025-08-28 12:00:00+00:00,476983589.4829,483120383.1459,v4,symbol_interval,6h,LINK,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:19.376254+00:00
2025-08-28 18:00:00+00:00,100080349.1757,109497625.4703,v4,symbol_interval,6h,LINK,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:19.376254+00:00
2025-08-29 00:00:00+00:00,114738323.8217,122372044.2835,v4,symbol_interval,6h,LINK,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:19.376254+00:00
2025-08-29 06:00:00+00:00,130333678.5656,151566461.7498,v4,symbol_interval,6h,LINK,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:19.376254+00:00
2025-08-29 12:00:00+00:00,150486456.16,159412910.5011,v4,symbol_interval,6h,LINK,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:19.376254+00:00
2025-08-29 18:00:00+00:00,62990126.7844,59846566.1722,v4,symbol_interval,6h,LINK,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:19.376254+00:00
2025-08-30 00:00:00+00:00,75230911.6564,77281865.5085,v4,symbol_interval,6h,LINK,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:19.376254+00:00
2025-08-30 06:00:00+00:00,44986646.6963,43680640.8182,v4,symbol_interval,6h,LINK,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:19.376254+00:00
2025-08-30 12:00:00+00:00,51861786.8162,55051158.7737,v4,symbol_interval,6h,LINK,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:19.376254+00:00
2025-08-30 18:00:00+00:00,19969748.4625,19849668.3383,v4,symbol_interval,6h,LINK,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:19.376254+00:00
2025-08-31 00:00:00+00:00,57328730.1426,58980933.1481,v4,symbol_interval,6h,LINK,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:19.376254+00:00
2025-08-31 06:00:00+00:00,36278978.2489,37744892.4602,v4,symbol_interval,6h,LINK,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:19.376254+00:00
2025-08-31 12:00:00+00:00,58598142.7311,59263442.6027,v4,symbol_interval,6h,LINK,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:19.376254+00:00
2025-08-31 18:00:00+00:00,50313283.3164,61361739.508,v4,symbol_interval,6h,LINK,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:19.376254+00:00
2025-09-01 00:00:00+00:00,87139741.7271,90983524.5116,v4,symbol_interval,6h,LINK,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:19.376254+00:00
2025-09-01 06:00:00+00:00,107412582.7876,111699007.1248,v4,symbol_interval,6h,LINK,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:19.376254+00:00
2025-09-01 12:00:00+00:00,84719204.4563,80012660.197,v4,symbol_interval,6h,LINK,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:19.376254+00:00
2025-09-01 18:00:00+00:00,83012971.1542,87874824.3011,v4,symbol_interval,6h,LINK,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:19.376254+00:00
2025-09-02 00:00:00+00:00,77306278.8134,74289960.4912,v4,symbol_interval,6h,LINK,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:19.376254+00:00
2025-09-02 06:00:00+00:00,58821522.8805,59471538.1394,v4,symbol_interval,6h,LINK,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:19.376254+00:00
2025-09-02 12:00:00+00:00,136689905.714,133589022.4279,v4,symbol_interval,6h,LINK,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:19.376254+00:00
2025-09-02 18:00:00+00:00,55835935.3838,53252511.3603,v4,symbol_interval,6h,LINK,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:19.376254+00:00
2025-09-03 00:00:00+00:00,46712451.2388,43653981.9413,v4,symbol_interval,6h,LINK,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:19.376254+00:00
