ts,open_basis,close_basis,open_change,close_change,api_version,scope,interval,symbol,endpoint,path,fetched_at
2025-08-16 06:00:00+00:00,0.0505,0.0341,0.06,0.04,v4,symbol_interval,6h,LTC,basis,futures/basis/history,2026-04-23T01:00:53.101093+00:00
2025-08-16 12:00:00+00:00,0.0256,0.0671,0.03,0.08,v4,symbol_interval,6h,LTC,basis,futures/basis/history,2026-04-23T01:00:53.101093+00:00
2025-08-16 18:00:00+00:00,0.0755,0.0661,0.09,0.08,v4,symbol_interval,6h,LTC,basis,futures/basis/history,2026-04-23T01:00:53.101093+00:00
2025-08-17 00:00:00+00:00,0.0496,0.0576,0.06,0.07,v4,symbol_interval,6h,LTC,basis,futures/basis/history,2026-04-23T01:00:53.101093+00:00
2025-08-17 06:00:00+00:00,0.0658,0.0572,0.08,0.07,v4,symbol_interval,6h,LTC,basis,futures/basis/history,2026-04-24T04:16:41.686476+00:00
2025-08-17 12:00:00+00:00,0.0572,0.0328,0.07,0.04,v4,symbol_interval,6h,LTC,basis,futures/basis/history,2026-04-24T04:16:41.686476+00:00
2025-08-17 18:00:00+00:00,0.0411,0.0331,0.05,0.04,v4,symbol_interval,6h,LTC,basis,futures/basis/history,2026-04-24T04:16:41.686476+00:00
2025-08-18 00:00:00+00:00,0.0414,0.0768,0.05,0.09,v4,symbol_interval,6h,LTC,basis,futures/basis/history,2026-04-24T04:16:41.686476+00:00
2025-08-18 06:00:00+00:00,0.0683,0.043,0.08,0.05,v4,symbol_interval,6h,LTC,basis,futures/basis/history,2026-04-24T04:16:41.686476+00:00
2025-08-18 12:00:00+00:00,0.043,0.0594,0.05,0.07,v4,symbol_interval,6h,LTC,basis,futures/basis/history,2026-04-24T04:16:41.686476+00:00
2025-08-18 18:00:00+00:00,0.0509,0.068,0.06,0.08,v4,symbol_interval,6h,LTC,basis,futures/basis/history,2026-04-24T04:16:41.686476+00:00
2025-08-19 00:00:00+00:00,0.068,0.0686,0.08,0.08,v4,symbol_interval,6h,LTC,basis,futures/basis/history,2026-04-24T04:16:41.686476+00:00
2025-08-19 06:00:00+00:00,0.0686,0.0775,0.08,0.09,v4,symbol_interval,6h,LTC,basis,futures/basis/history,2026-04-24T04:16:41.686476+00:00
2025-08-19 12:00:00+00:00,0.0689,0.0439,0.08,0.05,v4,symbol_interval,6h,LTC,basis,futures/basis/history,2026-04-24T04:16:41.686476+00:00
2025-08-19 18:00:00+00:00,0.0351,0.0711,0.04,0.08,v4,symbol_interval,6h,LTC,basis,futures/basis/history,2026-04-24T04:16:41.686476+00:00
2025-08-20 00:00:00+00:00,0.0622,0.0613,0.07,0.07,v4,symbol_interval,6h,LTC,basis,futures/basis/history,2026-04-24T04:16:41.686476+00:00
2025-08-20 06:00:00+00:00,0.0701,0.0523,0.08,0.06,v4,symbol_interval,6h,LTC,basis,futures/basis/history,2026-04-24T04:16:41.686476+00:00
2025-08-20 12:00:00+00:00,0.0523,0.0516,0.06,0.06,v4,symbol_interval,6h,LTC,basis,futures/basis/history,2026-04-24T04:16:41.686476+00:00
2025-08-20 18:00:00+00:00,0.043,0.0431,0.05,0.05,v4,symbol_interval,6h,LTC,basis,futures/basis/history,2026-04-24T04:16:41.686476+00:00
2025-08-21 00:00:00+00:00,0.0431,0.0516,0.05,0.06,v4,symbol_interval,6h,LTC,basis,futures/basis/history,2026-04-24T04:16:41.686476+00:00
2025-08-21 06:00:00+00:00,0.043,0.0349,0.05,0.04,v4,symbol_interval,6h,LTC,basis,futures/basis/history,2026-04-24T04:16:41.686476+00:00
2025-08-21 12:00:00+00:00,0.0436,0.0349,0.05,0.04,v4,symbol_interval,6h,LTC,basis,futures/basis/history,2026-04-24T04:16:41.686476+00:00
2025-08-21 18:00:00+00:00,0.0262,0.061,0.03,0.07,v4,symbol_interval,6h,LTC,basis,futures/basis/history,2026-04-24T04:16:41.686476+00:00
2025-08-22 00:00:00+00:00,0.061,0.0603,0.07,0.07,v4,symbol_interval,6h,LTC,basis,futures/basis/history,2026-04-24T04:16:41.686476+00:00
2025-08-22 06:00:00+00:00,0.0603,0.0612,0.07,0.07,v4,symbol_interval,6h,LTC,basis,futures/basis/history,2026-04-24T04:16:41.686476+00:00
2025-08-22 12:00:00+00:00,0.0612,0.0164,0.07,0.02,v4,symbol_interval,6h,LTC,basis,futures/basis/history,2026-04-24T04:16:41.686476+00:00
2025-08-22 18:00:00+00:00,0.0082,-0.0081,0.01,-0.01,v4,symbol_interval,6h,LTC,basis,futures/basis/history,2026-04-24T04:16:41.686476+00:00
2025-08-23 00:00:00+00:00,-0.0163,0.0163,-0.02,0.02,v4,symbol_interval,6h,LTC,basis,futures/basis/history,2026-04-24T04:16:41.686476+00:00
2025-08-23 06:00:00+00:00,0.0163,0.0165,0.02,0.02,v4,symbol_interval,6h,LTC,basis,futures/basis/history,2026-04-24T04:16:41.686476+00:00
2025-08-23 12:00:00+00:00,0.0082,0.0083,0.01,0.01,v4,symbol_interval,6h,LTC,basis,futures/basis/history,2026-04-24T04:16:41.686476+00:00
2025-08-23 18:00:00+00:00,0.0165,0.0082,0.02,0.01,v4,symbol_interval,6h,LTC,basis,futures/basis/history,2026-04-24T04:16:41.686476+00:00
2025-08-24 00:00:00+00:00,0.0082,0.0082,0.01,0.01,v4,symbol_interval,6h,LTC,basis,futures/basis/history,2026-04-24T04:16:41.686476+00:00
2025-08-24 06:00:00+00:00,0.0082,0.0084,0.01,0.01,v4,symbol_interval,6h,LTC,basis,futures/basis/history,2026-04-24T04:16:41.686476+00:00
2025-08-24 12:00:00+00:00,0.0,0.0247,0.0,0.03,v4,symbol_interval,6h,LTC,basis,futures/basis/history,2026-04-24T04:16:41.686476+00:00
2025-08-24 18:00:00+00:00,0.0329,0.0085,0.04,0.01,v4,symbol_interval,6h,LTC,basis,futures/basis/history,2026-04-24T04:16:41.686476+00:00
2025-08-25 00:00:00+00:00,-0.0085,0.0435,-0.01,0.05,v4,symbol_interval,6h,LTC,basis,futures/basis/history,2026-04-24T04:16:41.686476+00:00
2025-08-25 06:00:00+00:00,0.0435,0.0628,0.05,0.07,v4,symbol_interval,6h,LTC,basis,futures/basis/history,2026-04-24T04:16:41.686476+00:00
2025-08-25 12:00:00+00:00,0.0539,0.0627,0.06,0.07,v4,symbol_interval,6h,LTC,basis,futures/basis/history,2026-04-24T04:16:41.686476+00:00
2025-08-25 18:00:00+00:00,0.0627,0.0458,0.07,0.05,v4,symbol_interval,6h,LTC,basis,futures/basis/history,2026-04-24T04:16:41.686476+00:00
2025-08-26 00:00:00+00:00,0.0367,0.0632,0.04,0.07,v4,symbol_interval,6h,LTC,basis,futures/basis/history,2026-04-24T04:16:41.686476+00:00
2025-08-26 06:00:00+00:00,0.0632,0.0271,0.07,0.03,v4,symbol_interval,6h,LTC,basis,futures/basis/history,2026-04-24T04:16:41.686476+00:00
2025-08-26 12:00:00+00:00,0.0362,0.0532,0.04,0.06,v4,symbol_interval,6h,LTC,basis,futures/basis/history,2026-04-24T04:16:41.686476+00:00
2025-08-26 18:00:00+00:00,0.0532,0.0441,0.06,0.05,v4,symbol_interval,6h,LTC,basis,futures/basis/history,2026-04-24T04:16:41.686476+00:00
