ts,open,high,low,close,api_version,scope,interval,symbol,endpoint,path,fetched_at
2025-08-16 06:00:00+00:00,38204220,38291580,38058370,38210190,v4,symbol_interval,6h,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-23T01:01:48.300839+00:00
2025-08-16 12:00:00+00:00,38210190,38844410,38205040,38827350,v4,symbol_interval,6h,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-23T01:01:48.300839+00:00
2025-08-16 18:00:00+00:00,38827350,38935030,38387140,38442860,v4,symbol_interval,6h,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-23T01:01:48.300839+00:00
2025-08-17 00:00:00+00:00,38442860,38442860,38037790,38286010,v4,symbol_interval,6h,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-23T01:01:48.300839+00:00
2025-08-17 06:00:00+00:00,38286010,38572080,38142890,38559380,v4,symbol_interval,6h,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:18:04.493704+00:00
2025-08-17 12:00:00+00:00,38559380,39198390,38465380,39006490,v4,symbol_interval,6h,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:18:04.493704+00:00
2025-08-17 18:00:00+00:00,39006490,39123520,38885760,38885760,v4,symbol_interval,6h,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:18:04.493704+00:00
2025-08-18 00:00:00+00:00,38885760,38885760,37229800,37399900,v4,symbol_interval,6h,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:18:04.493704+00:00
2025-08-18 06:00:00+00:00,37399900,37753380,37265940,37610510,v4,symbol_interval,6h,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:18:04.493704+00:00
2025-08-18 12:00:00+00:00,37610510,39463230,37456010,39205260,v4,symbol_interval,6h,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:18:04.493704+00:00
2025-08-18 18:00:00+00:00,39205260,39435070,38932670,39200440,v4,symbol_interval,6h,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:18:04.493704+00:00
2025-08-19 00:00:00+00:00,39200440,39603450,39191980,39358200,v4,symbol_interval,6h,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:18:04.493704+00:00
2025-08-19 06:00:00+00:00,39358200,39729020,39307100,39674830,v4,symbol_interval,6h,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:18:04.493704+00:00
2025-08-19 12:00:00+00:00,39674830,40109700,39348720,39465100,v4,symbol_interval,6h,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:18:04.493704+00:00
2025-08-19 18:00:00+00:00,39465100,39532320,39301680,39526160,v4,symbol_interval,6h,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:18:04.493704+00:00
2025-08-20 00:00:00+00:00,39526160,39709240,39349850,39692850,v4,symbol_interval,6h,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:18:04.493704+00:00
2025-08-20 06:00:00+00:00,39692850,39872720,39539940,39800010,v4,symbol_interval,6h,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:18:04.493704+00:00
2025-08-20 12:00:00+00:00,39800010,40550170,39731140,40546350,v4,symbol_interval,6h,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:18:04.493704+00:00
2025-08-20 18:00:00+00:00,40546350,40575840,40199350,40384440,v4,symbol_interval,6h,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:18:04.493704+00:00
2025-08-21 00:00:00+00:00,40384440,40681110,40365380,40661090,v4,symbol_interval,6h,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:18:04.493704+00:00
2025-08-21 06:00:00+00:00,40661090,40729890,40629350,40668160,v4,symbol_interval,6h,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:18:04.493704+00:00
2025-08-21 12:00:00+00:00,40668160,40691380,40015820,40025580,v4,symbol_interval,6h,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:18:04.493704+00:00
2025-08-21 18:00:00+00:00,40025580,40116560,39962770,39962820,v4,symbol_interval,6h,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:18:04.493704+00:00
2025-08-22 00:00:00+00:00,39962820,40089020,39199830,39699350,v4,symbol_interval,6h,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:18:04.493704+00:00
2025-08-22 06:00:00+00:00,39699350,39707820,39114960,39114960,v4,symbol_interval,6h,LTC,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:18:04.493704+00:00
