ts,buy,sell,api_version,scope,interval,symbol,endpoint,path,fetched_at
2025-08-16 06:00:00+00:00,32838661.0036,38089266.8553,v4,symbol_interval,6h,LTC,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-23T00:59:57.204052+00:00
2025-08-16 12:00:00+00:00,28230836.9154,28805759.5549,v4,symbol_interval,6h,LTC,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-23T00:59:57.204052+00:00
2025-08-16 18:00:00+00:00,22587397.8973,23340741.567,v4,symbol_interval,6h,LTC,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-23T00:59:57.204052+00:00
2025-08-17 00:00:00+00:00,21965180.9226,21103506.1212,v4,symbol_interval,6h,LTC,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-23T00:59:57.204052+00:00
2025-08-17 06:00:00+00:00,30123949.1554,33356461.8714,v4,symbol_interval,6h,LTC,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:28.269394+00:00
2025-08-17 12:00:00+00:00,36627434.046,49801748.9901,v4,symbol_interval,6h,LTC,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:28.269394+00:00
2025-08-17 18:00:00+00:00,21798091.6233,28498764.2894,v4,symbol_interval,6h,LTC,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:28.269394+00:00
2025-08-18 00:00:00+00:00,62935918.3141,79815136.7212,v4,symbol_interval,6h,LTC,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:28.269394+00:00
2025-08-18 06:00:00+00:00,36797735.6234,36359471.7101,v4,symbol_interval,6h,LTC,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:28.269394+00:00
2025-08-18 12:00:00+00:00,47444537.7269,50563963.081,v4,symbol_interval,6h,LTC,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:28.269394+00:00
2025-08-18 18:00:00+00:00,23339426.3026,24848380.2509,v4,symbol_interval,6h,LTC,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:28.269394+00:00
2025-08-19 00:00:00+00:00,48687658.3459,54601515.1766,v4,symbol_interval,6h,LTC,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:28.269394+00:00
2025-08-19 06:00:00+00:00,43382326.9262,49818367.7405,v4,symbol_interval,6h,LTC,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:28.269394+00:00
2025-08-19 12:00:00+00:00,53181834.3579,58669393.149,v4,symbol_interval,6h,LTC,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:28.269394+00:00
2025-08-19 18:00:00+00:00,41966966.2957,48676975.259,v4,symbol_interval,6h,LTC,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:28.269394+00:00
2025-08-20 00:00:00+00:00,29235516.5621,29705020.1519,v4,symbol_interval,6h,LTC,taker_pair,futures/v2/taker-buy-sell-volume/history,2026-04-24T04:15:28.269394+00:00
