ts,open_basis,close_basis,open_change,close_change,api_version,scope,interval,symbol,endpoint,path,fetched_at
2025-08-16 00:00:00+00:00,0.0539,0.0484,0.1,0.09,v4,symbol_interval,6h,SOL,basis,futures/basis/history,2026-04-22T21:27:06.228576+00:00
2025-08-16 06:00:00+00:00,0.0537,0.0431,0.1,0.08,v4,symbol_interval,6h,SOL,basis,futures/basis/history,2026-04-23T01:00:40.530655+00:00
2025-08-16 12:00:00+00:00,0.0485,0.0426,0.09,0.08,v4,symbol_interval,6h,SOL,basis,futures/basis/history,2026-04-23T01:00:40.530655+00:00
2025-08-16 18:00:00+00:00,0.0426,0.0422,0.08,0.08,v4,symbol_interval,6h,SOL,basis,futures/basis/history,2026-04-23T01:00:40.530655+00:00
2025-08-17 00:00:00+00:00,0.0422,0.0364,0.08,0.07,v4,symbol_interval,6h,SOL,basis,futures/basis/history,2026-04-23T01:00:40.530655+00:00
2025-08-17 06:00:00+00:00,0.0415,0.062,0.08,0.12,v4,symbol_interval,6h,SOL,basis,futures/basis/history,2026-04-24T04:16:19.519733+00:00
2025-08-17 12:00:00+00:00,0.062,0.0466,0.12,0.09,v4,symbol_interval,6h,SOL,basis,futures/basis/history,2026-04-24T04:16:19.519733+00:00
2025-08-17 18:00:00+00:00,0.0517,0.0367,0.1,0.07,v4,symbol_interval,6h,SOL,basis,futures/basis/history,2026-04-24T04:16:19.519733+00:00
2025-08-18 00:00:00+00:00,0.0419,0.0602,0.08,0.11,v4,symbol_interval,6h,SOL,basis,futures/basis/history,2026-04-24T04:16:19.519733+00:00
2025-08-18 06:00:00+00:00,0.0711,0.0662,0.13,0.12,v4,symbol_interval,6h,SOL,basis,futures/basis/history,2026-04-24T04:16:19.519733+00:00
2025-08-18 12:00:00+00:00,0.0717,0.0596,0.13,0.11,v4,symbol_interval,6h,SOL,basis,futures/basis/history,2026-04-24T04:16:19.519733+00:00
2025-08-18 18:00:00+00:00,0.065,0.0547,0.12,0.1,v4,symbol_interval,6h,SOL,basis,futures/basis/history,2026-04-24T04:16:19.519733+00:00
2025-08-19 00:00:00+00:00,0.0547,0.0445,0.1,0.08,v4,symbol_interval,6h,SOL,basis,futures/basis/history,2026-04-24T04:16:19.519733+00:00
2025-08-19 06:00:00+00:00,0.0501,0.0493,0.09,0.09,v4,symbol_interval,6h,SOL,basis,futures/basis/history,2026-04-24T04:16:19.519733+00:00
2025-08-19 12:00:00+00:00,0.0548,0.0393,0.1,0.07,v4,symbol_interval,6h,SOL,basis,futures/basis/history,2026-04-24T04:16:19.519733+00:00
2025-08-19 18:00:00+00:00,0.0393,0.0511,0.07,0.09,v4,symbol_interval,6h,SOL,basis,futures/basis/history,2026-04-24T04:16:19.519733+00:00
2025-08-20 00:00:00+00:00,0.0568,0.0331,0.1,0.06,v4,symbol_interval,6h,SOL,basis,futures/basis/history,2026-04-24T04:16:19.519733+00:00
2025-08-20 06:00:00+00:00,0.0331,0.0444,0.06,0.08,v4,symbol_interval,6h,SOL,basis,futures/basis/history,2026-04-24T04:16:19.519733+00:00
2025-08-20 12:00:00+00:00,0.0444,0.0378,0.08,0.07,v4,symbol_interval,6h,SOL,basis,futures/basis/history,2026-04-24T04:16:19.519733+00:00
2025-08-20 18:00:00+00:00,0.0324,0.0213,0.06,0.04,v4,symbol_interval,6h,SOL,basis,futures/basis/history,2026-04-24T04:16:19.519733+00:00
2025-08-21 00:00:00+00:00,0.0319,0.0425,0.06,0.08,v4,symbol_interval,6h,SOL,basis,futures/basis/history,2026-04-24T04:16:19.519733+00:00
2025-08-21 06:00:00+00:00,0.0479,0.0435,0.09,0.08,v4,symbol_interval,6h,SOL,basis,futures/basis/history,2026-04-24T04:16:19.519733+00:00
2025-08-21 12:00:00+00:00,0.0489,0.0387,0.09,0.07,v4,symbol_interval,6h,SOL,basis,futures/basis/history,2026-04-24T04:16:19.519733+00:00
2025-08-21 18:00:00+00:00,0.0331,0.0222,0.06,0.04,v4,symbol_interval,6h,SOL,basis,futures/basis/history,2026-04-24T04:16:19.519733+00:00
2025-08-22 00:00:00+00:00,0.0333,0.049,0.06,0.09,v4,symbol_interval,6h,SOL,basis,futures/basis/history,2026-04-24T04:16:19.519733+00:00
2025-08-22 06:00:00+00:00,0.0436,0.0501,0.08,0.09,v4,symbol_interval,6h,SOL,basis,futures/basis/history,2026-04-24T04:16:19.519733+00:00
2025-08-22 12:00:00+00:00,0.0446,0.0102,0.08,0.02,v4,symbol_interval,6h,SOL,basis,futures/basis/history,2026-04-24T04:16:19.519733+00:00
2025-08-22 18:00:00+00:00,0.0152,0.005,0.03,0.01,v4,symbol_interval,6h,SOL,basis,futures/basis/history,2026-04-24T04:16:19.519733+00:00
2025-08-23 00:00:00+00:00,0.005,-0.0433,0.01,-0.09,v4,symbol_interval,6h,SOL,basis,futures/basis/history,2026-04-24T04:16:19.519733+00:00
2025-08-23 06:00:00+00:00,-0.0385,-0.0495,-0.08,-0.1,v4,symbol_interval,6h,SOL,basis,futures/basis/history,2026-04-24T04:16:19.519733+00:00
2025-08-23 12:00:00+00:00,-0.0495,-0.0492,-0.1,-0.1,v4,symbol_interval,6h,SOL,basis,futures/basis/history,2026-04-24T04:16:19.519733+00:00
2025-08-23 18:00:00+00:00,-0.0541,-0.0343,-0.11,-0.07,v4,symbol_interval,6h,SOL,basis,futures/basis/history,2026-04-24T04:16:19.519733+00:00
2025-08-24 00:00:00+00:00,-0.0343,-0.0479,-0.07,-0.1,v4,symbol_interval,6h,SOL,basis,futures/basis/history,2026-04-24T04:16:19.519733+00:00
2025-08-24 06:00:00+00:00,-0.0479,-0.0684,-0.1,-0.14,v4,symbol_interval,6h,SOL,basis,futures/basis/history,2026-04-24T04:16:19.519733+00:00
