ts,open_basis,close_basis,open_change,close_change,api_version,scope,interval,symbol,endpoint,path,fetched_at
2025-08-16 06:00:00+00:00,0.0538,0.0659,0.00019,0.00023,v4,symbol_interval,6h,TRX,basis,futures/basis/history,2026-04-23T01:00:50.556435+00:00
2025-08-16 12:00:00+00:00,0.0945,0.0836,0.00033,0.00029,v4,symbol_interval,6h,TRX,basis,futures/basis/history,2026-04-23T01:00:50.556435+00:00
2025-08-16 18:00:00+00:00,0.0836,0.0259,0.00029,9e-05,v4,symbol_interval,6h,TRX,basis,futures/basis/history,2026-04-23T01:00:50.556435+00:00
2025-08-17 00:00:00+00:00,0.0259,0.04,9e-05,0.00014,v4,symbol_interval,6h,TRX,basis,futures/basis/history,2026-04-23T01:00:50.556435+00:00
2025-08-17 06:00:00+00:00,0.0685,0.054,0.00024,0.00019,v4,symbol_interval,6h,TRX,basis,futures/basis/history,2026-04-24T04:16:38.718855+00:00
2025-08-17 12:00:00+00:00,0.0824,0.0,0.00029,0.0,v4,symbol_interval,6h,TRX,basis,futures/basis/history,2026-04-24T04:16:38.718855+00:00
2025-08-17 18:00:00+00:00,0.0,0.0425,0.0,0.00015,v4,symbol_interval,6h,TRX,basis,futures/basis/history,2026-04-24T04:16:38.718855+00:00
2025-08-18 00:00:00+00:00,0.0142,0.0029,5e-05,1e-05,v4,symbol_interval,6h,TRX,basis,futures/basis/history,2026-04-24T04:16:38.718855+00:00
2025-08-18 06:00:00+00:00,0.0315,0.0462,0.00011,0.00016,v4,symbol_interval,6h,TRX,basis,futures/basis/history,2026-04-24T04:16:38.718855+00:00
2025-08-18 12:00:00+00:00,0.0433,0.0344,0.00015,0.00012,v4,symbol_interval,6h,TRX,basis,futures/basis/history,2026-04-24T04:16:38.718855+00:00
2025-08-18 18:00:00+00:00,0.0086,0.0314,3e-05,0.00011,v4,symbol_interval,6h,TRX,basis,futures/basis/history,2026-04-24T04:16:38.718855+00:00
2025-08-19 00:00:00+00:00,0.0343,0.0721,0.00012,0.00025,v4,symbol_interval,6h,TRX,basis,futures/basis/history,2026-04-24T04:16:38.718855+00:00
2025-08-19 06:00:00+00:00,0.0461,0.0398,0.00016,0.00014,v4,symbol_interval,6h,TRX,basis,futures/basis/history,2026-04-24T04:16:38.718855+00:00
2025-08-19 12:00:00+00:00,0.0398,0.0343,0.00014,0.00012,v4,symbol_interval,6h,TRX,basis,futures/basis/history,2026-04-24T04:16:38.718855+00:00
2025-08-19 18:00:00+00:00,0.0658,0.1123,0.00023,0.00039,v4,symbol_interval,6h,TRX,basis,futures/basis/history,2026-04-24T04:16:38.718855+00:00
2025-08-20 00:00:00+00:00,0.1123,0.086,0.00039,0.0003,v4,symbol_interval,6h,TRX,basis,futures/basis/history,2026-04-24T04:16:38.718855+00:00
2025-08-20 06:00:00+00:00,0.0545,0.0428,0.00019,0.00015,v4,symbol_interval,6h,TRX,basis,futures/basis/history,2026-04-24T04:16:38.718855+00:00
2025-08-20 12:00:00+00:00,0.04,0.0256,0.00014,9e-05,v4,symbol_interval,6h,TRX,basis,futures/basis/history,2026-04-24T04:16:38.718855+00:00
2025-08-20 18:00:00+00:00,0.0256,0.0423,9e-05,0.00015,v4,symbol_interval,6h,TRX,basis,futures/basis/history,2026-04-24T04:16:38.718855+00:00
2025-08-21 00:00:00+00:00,0.0395,-0.0196,0.00014,-7e-05,v4,symbol_interval,6h,TRX,basis,futures/basis/history,2026-04-24T04:16:38.718855+00:00
2025-08-21 06:00:00+00:00,0.0084,0.0512,3e-05,0.00018,v4,symbol_interval,6h,TRX,basis,futures/basis/history,2026-04-24T04:16:38.718855+00:00
2025-08-21 12:00:00+00:00,0.0512,0.0425,0.00018,0.00015,v4,symbol_interval,6h,TRX,basis,futures/basis/history,2026-04-24T04:16:38.718855+00:00
2025-08-21 18:00:00+00:00,0.0425,0.0566,0.00015,0.0002,v4,symbol_interval,6h,TRX,basis,futures/basis/history,2026-04-24T04:16:38.718855+00:00
2025-08-22 00:00:00+00:00,0.0537,0.0392,0.00019,0.00014,v4,symbol_interval,6h,TRX,basis,futures/basis/history,2026-04-24T04:16:38.718855+00:00
