ts,open,high,low,close,api_version,scope,interval,symbol,endpoint,path,fetched_at
2025-08-16 06:00:00+00:00,11232160,11237600,10954370,10970560,v4,symbol_interval,6h,TRX,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-23T01:01:46.387433+00:00
2025-08-16 12:00:00+00:00,10970560,10970560,10139420,10164760,v4,symbol_interval,6h,TRX,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-23T01:01:46.387433+00:00
2025-08-16 18:00:00+00:00,10164760,10314780,10164020,10298250,v4,symbol_interval,6h,TRX,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-23T01:01:46.387433+00:00
2025-08-17 00:00:00+00:00,10298250,10390360,10253850,10336740,v4,symbol_interval,6h,TRX,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-23T01:01:46.387433+00:00
2025-08-17 06:00:00+00:00,10336740,10340670,10110400,10340660,v4,symbol_interval,6h,TRX,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:18:01.288122+00:00
2025-08-17 12:00:00+00:00,10340660,10451510,10262280,10444850,v4,symbol_interval,6h,TRX,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:18:01.288122+00:00
2025-08-17 18:00:00+00:00,10444850,10621890,10351360,10589480,v4,symbol_interval,6h,TRX,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:18:01.288122+00:00
2025-08-18 00:00:00+00:00,10589480,10589480,9843190,9846120,v4,symbol_interval,6h,TRX,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:18:01.288122+00:00
2025-08-18 06:00:00+00:00,9846120,9974160,9778050,9971610,v4,symbol_interval,6h,TRX,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:18:01.288122+00:00
2025-08-18 12:00:00+00:00,9971610,10713470,9964170,10641750,v4,symbol_interval,6h,TRX,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:18:01.288122+00:00
2025-08-18 18:00:00+00:00,10641750,10887390,10526430,10774640,v4,symbol_interval,6h,TRX,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:18:01.288122+00:00
2025-08-19 00:00:00+00:00,10774640,10968540,10430680,10471300,v4,symbol_interval,6h,TRX,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:18:01.288122+00:00
2025-08-19 06:00:00+00:00,10471300,11259920,10467410,11259920,v4,symbol_interval,6h,TRX,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:18:01.288122+00:00
2025-08-19 12:00:00+00:00,11259920,11398330,10723990,11024130,v4,symbol_interval,6h,TRX,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:18:01.288122+00:00
2025-08-19 18:00:00+00:00,11024130,11169520,10867150,11027270,v4,symbol_interval,6h,TRX,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:18:01.288122+00:00
2025-08-20 00:00:00+00:00,11027270,11027270,10350530,10601390,v4,symbol_interval,6h,TRX,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:18:01.288122+00:00
2025-08-20 06:00:00+00:00,10601390,10676450,10389920,10440200,v4,symbol_interval,6h,TRX,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:18:01.288122+00:00
2025-08-20 12:00:00+00:00,10440200,10554190,10268410,10553970,v4,symbol_interval,6h,TRX,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:18:01.288122+00:00
2025-08-20 18:00:00+00:00,10553970,10849190,10372440,10827410,v4,symbol_interval,6h,TRX,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:18:01.288122+00:00
2025-08-21 00:00:00+00:00,10827410,10871350,10674120,10865670,v4,symbol_interval,6h,TRX,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:18:01.288122+00:00
2025-08-21 06:00:00+00:00,10865670,10886420,10559090,10582020,v4,symbol_interval,6h,TRX,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:18:01.288122+00:00
2025-08-21 12:00:00+00:00,10582020,10619210,10445840,10520560,v4,symbol_interval,6h,TRX,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:18:01.288122+00:00
2025-08-21 18:00:00+00:00,10520560,10523420,10415420,10453680,v4,symbol_interval,6h,TRX,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:18:01.288122+00:00
2025-08-22 00:00:00+00:00,10453680,10605610,10435740,10604950,v4,symbol_interval,6h,TRX,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:18:01.288122+00:00
2025-08-22 06:00:00+00:00,10604950,10609240,10497020,10497020,v4,symbol_interval,6h,TRX,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:18:01.288122+00:00
2025-08-22 12:00:00+00:00,10497020,10717920,10366670,10656890,v4,symbol_interval,6h,TRX,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:18:01.288122+00:00
2025-08-22 18:00:00+00:00,10656890,10732850,10550700,10732850,v4,symbol_interval,6h,TRX,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:18:01.288122+00:00
2025-08-23 00:00:00+00:00,10732850,11073670,10732250,10789810,v4,symbol_interval,6h,TRX,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:18:01.288122+00:00
2025-08-23 06:00:00+00:00,10789810,10789810,10719770,10783880,v4,symbol_interval,6h,TRX,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:18:01.288122+00:00
2025-08-23 12:00:00+00:00,10783880,11047850,10605450,10985540,v4,symbol_interval,6h,TRX,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:18:01.288122+00:00
