ts,buy,sell,api_version,scope,interval,symbol,endpoint,path,fetched_at
2025-08-16 06:00:00+00:00,14272696.126,18711776.3929,v4,symbol_interval,6h,TRX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-23T01:00:20.082394+00:00
2025-08-16 12:00:00+00:00,39192322.5734,43511502.1071,v4,symbol_interval,6h,TRX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-23T01:00:20.082394+00:00
2025-08-16 18:00:00+00:00,10248081.6795,9535474.9646,v4,symbol_interval,6h,TRX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-23T01:00:20.082394+00:00
2025-08-17 00:00:00+00:00,17921959.3393,13963277.4641,v4,symbol_interval,6h,TRX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-23T01:00:20.082394+00:00
2025-08-17 06:00:00+00:00,14797312.6925,13248688.2332,v4,symbol_interval,6h,TRX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:16:00.688350+00:00
2025-08-17 12:00:00+00:00,21956290.5696,17666901.0377,v4,symbol_interval,6h,TRX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:16:00.688350+00:00
2025-08-17 18:00:00+00:00,15321508.4114,14303377.5104,v4,symbol_interval,6h,TRX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:16:00.688350+00:00
2025-08-18 00:00:00+00:00,31929905.6258,38781547.6694,v4,symbol_interval,6h,TRX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:16:00.688350+00:00
2025-08-18 06:00:00+00:00,20248464.4893,28796016.845,v4,symbol_interval,6h,TRX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:16:00.688350+00:00
2025-08-18 12:00:00+00:00,28210644.0701,24723396.6743,v4,symbol_interval,6h,TRX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:16:00.688350+00:00
2025-08-18 18:00:00+00:00,15883134.5174,15574190.3166,v4,symbol_interval,6h,TRX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:16:00.688350+00:00
2025-08-19 00:00:00+00:00,32510070.0494,34824979.1685,v4,symbol_interval,6h,TRX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:16:00.688350+00:00
2025-08-19 06:00:00+00:00,21297425.4336,20301749.5259,v4,symbol_interval,6h,TRX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:16:00.688350+00:00
2025-08-19 12:00:00+00:00,40928957.4374,45997078.2142,v4,symbol_interval,6h,TRX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:16:00.688350+00:00
2025-08-19 18:00:00+00:00,25450090.3764,28647938.3224,v4,symbol_interval,6h,TRX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:16:00.688350+00:00
2025-08-20 00:00:00+00:00,28203343.5011,25012240.9033,v4,symbol_interval,6h,TRX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:16:00.688350+00:00
2025-08-20 06:00:00+00:00,19274169.7597,18290477.0292,v4,symbol_interval,6h,TRX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:16:00.688350+00:00
2025-08-20 12:00:00+00:00,46514199.6146,47509971.3843,v4,symbol_interval,6h,TRX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:16:00.688350+00:00
2025-08-20 18:00:00+00:00,25270142.592,21127668.1116,v4,symbol_interval,6h,TRX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:16:00.688350+00:00
2025-08-21 00:00:00+00:00,27312511.3201,19593398.5532,v4,symbol_interval,6h,TRX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:16:00.688350+00:00
2025-08-21 06:00:00+00:00,19715415.3259,25251683.0309,v4,symbol_interval,6h,TRX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:16:00.688350+00:00
2025-08-21 12:00:00+00:00,36404657.5515,35360547.6828,v4,symbol_interval,6h,TRX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:16:00.688350+00:00
2025-08-21 18:00:00+00:00,14900526.8278,15256688.8353,v4,symbol_interval,6h,TRX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:16:00.688350+00:00
2025-08-22 00:00:00+00:00,18974626.0331,16086528.3406,v4,symbol_interval,6h,TRX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:16:00.688350+00:00
2025-08-22 06:00:00+00:00,17148087.2388,18882815.9653,v4,symbol_interval,6h,TRX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:16:00.688350+00:00
2025-08-22 12:00:00+00:00,63663998.3901,54076326.2964,v4,symbol_interval,6h,TRX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:16:00.688350+00:00
2025-08-22 18:00:00+00:00,20612758.0542,17481597.4666,v4,symbol_interval,6h,TRX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:16:00.688350+00:00
2025-08-23 00:00:00+00:00,26772056.0131,34811362.465,v4,symbol_interval,6h,TRX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:16:00.688350+00:00
2025-08-23 06:00:00+00:00,20772368.0627,21133120.8332,v4,symbol_interval,6h,TRX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:16:00.688350+00:00
2025-08-23 12:00:00+00:00,17775011.998,22339863.7001,v4,symbol_interval,6h,TRX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:16:00.688350+00:00
2025-08-23 18:00:00+00:00,10572439.123,9179740.1406,v4,symbol_interval,6h,TRX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:16:00.688350+00:00
2025-08-24 00:00:00+00:00,13933980.3215,13509380.0716,v4,symbol_interval,6h,TRX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:16:00.688350+00:00
2025-08-24 06:00:00+00:00,16951700.6473,18544015.2784,v4,symbol_interval,6h,TRX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:16:00.688350+00:00
2025-08-24 12:00:00+00:00,16744079.3657,15137030.8345,v4,symbol_interval,6h,TRX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:16:00.688350+00:00
2025-08-24 18:00:00+00:00,38975673.6426,44056909.1449,v4,symbol_interval,6h,TRX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:16:00.688350+00:00
2025-08-25 00:00:00+00:00,31360873.89,33437466.5598,v4,symbol_interval,6h,TRX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:16:00.688350+00:00
2025-08-25 06:00:00+00:00,32073566.9565,38638331.9828,v4,symbol_interval,6h,TRX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:16:00.688350+00:00
2025-08-25 12:00:00+00:00,26644741.8562,29818235.8453,v4,symbol_interval,6h,TRX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:16:00.688350+00:00
2025-08-25 18:00:00+00:00,40105206.8891,51326062.8517,v4,symbol_interval,6h,TRX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:16:00.688350+00:00
2025-08-26 00:00:00+00:00,34010244.8695,31896628.0583,v4,symbol_interval,6h,TRX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:16:00.688350+00:00
2025-08-26 06:00:00+00:00,22561812.9711,19573827.8536,v4,symbol_interval,6h,TRX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:16:00.688350+00:00
2025-08-26 12:00:00+00:00,38652617.3619,36529321.8473,v4,symbol_interval,6h,TRX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:16:00.688350+00:00
2025-08-26 18:00:00+00:00,18411815.3947,19010725.2695,v4,symbol_interval,6h,TRX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:16:00.688350+00:00
2025-08-27 00:00:00+00:00,19363943.2835,21904195.3305,v4,symbol_interval,6h,TRX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:16:00.688350+00:00
2025-08-27 06:00:00+00:00,13964931.3076,17147609.9558,v4,symbol_interval,6h,TRX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:16:00.688350+00:00
2025-08-27 12:00:00+00:00,18408118.5497,18183250.8365,v4,symbol_interval,6h,TRX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:16:00.688350+00:00
2025-08-27 18:00:00+00:00,22769690.0464,26658809.8499,v4,symbol_interval,6h,TRX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:16:00.688350+00:00
2025-08-28 00:00:00+00:00,16538661.3143,14038137.3146,v4,symbol_interval,6h,TRX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:16:00.688350+00:00
2025-08-28 06:00:00+00:00,13759531.4351,11638966.6371,v4,symbol_interval,6h,TRX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:16:00.688350+00:00
2025-08-28 12:00:00+00:00,24687235.6909,29727887.7526,v4,symbol_interval,6h,TRX,taker_agg,futures/aggregated-taker-buy-sell-volume/history,2026-04-24T04:16:00.688350+00:00
