ts,open_basis,close_basis,open_change,close_change,api_version,scope,interval,symbol,endpoint,path,fetched_at
2025-08-16 06:00:00+00:00,0.0388,0.0322,0.0012,0.001,v4,symbol_interval,6h,XRP,basis,futures/basis/history,2026-04-23T01:00:41.756535+00:00
2025-08-16 12:00:00+00:00,0.0354,0.0323,0.0011,0.001,v4,symbol_interval,6h,XRP,basis,futures/basis/history,2026-04-23T01:00:41.756535+00:00
2025-08-16 18:00:00+00:00,0.0323,0.0515,0.001,0.0016,v4,symbol_interval,6h,XRP,basis,futures/basis/history,2026-04-23T01:00:41.756535+00:00
2025-08-17 00:00:00+00:00,0.0548,0.0481,0.0017,0.0015,v4,symbol_interval,6h,XRP,basis,futures/basis/history,2026-04-23T01:00:41.756535+00:00
2025-08-17 06:00:00+00:00,0.0481,0.0416,0.0015,0.0013,v4,symbol_interval,6h,XRP,basis,futures/basis/history,2026-04-24T04:16:22.298516+00:00
2025-08-17 12:00:00+00:00,0.048,0.0644,0.0015,0.002,v4,symbol_interval,6h,XRP,basis,futures/basis/history,2026-04-24T04:16:22.298516+00:00
2025-08-17 18:00:00+00:00,0.0612,0.0681,0.0019,0.0021,v4,symbol_interval,6h,XRP,basis,futures/basis/history,2026-04-24T04:16:22.298516+00:00
2025-08-18 00:00:00+00:00,0.0681,0.0502,0.0021,0.0015,v4,symbol_interval,6h,XRP,basis,futures/basis/history,2026-04-24T04:16:22.298516+00:00
2025-08-18 06:00:00+00:00,0.0502,0.054,0.0015,0.0016,v4,symbol_interval,6h,XRP,basis,futures/basis/history,2026-04-24T04:16:22.298516+00:00
2025-08-18 12:00:00+00:00,0.0506,0.0489,0.0015,0.0015,v4,symbol_interval,6h,XRP,basis,futures/basis/history,2026-04-24T04:16:22.298516+00:00
2025-08-18 18:00:00+00:00,0.0489,0.0359,0.0015,0.0011,v4,symbol_interval,6h,XRP,basis,futures/basis/history,2026-04-24T04:16:22.298516+00:00
2025-08-19 00:00:00+00:00,0.0359,0.0365,0.0011,0.0011,v4,symbol_interval,6h,XRP,basis,futures/basis/history,2026-04-24T04:16:22.298516+00:00
2025-08-19 06:00:00+00:00,0.0398,0.0464,0.0012,0.0014,v4,symbol_interval,6h,XRP,basis,futures/basis/history,2026-04-24T04:16:22.298516+00:00
2025-08-19 12:00:00+00:00,0.0464,0.0649,0.0014,0.0019,v4,symbol_interval,6h,XRP,basis,futures/basis/history,2026-04-24T04:16:22.298516+00:00
2025-08-19 18:00:00+00:00,0.0649,0.0525,0.0019,0.0015,v4,symbol_interval,6h,XRP,basis,futures/basis/history,2026-04-24T04:16:22.298516+00:00
2025-08-20 00:00:00+00:00,0.0525,0.069,0.0015,0.002,v4,symbol_interval,6h,XRP,basis,futures/basis/history,2026-04-24T04:16:22.298516+00:00
2025-08-20 06:00:00+00:00,0.0656,0.0381,0.0019,0.0011,v4,symbol_interval,6h,XRP,basis,futures/basis/history,2026-04-24T04:16:22.298516+00:00
2025-08-20 12:00:00+00:00,0.0415,0.0578,0.0012,0.0017,v4,symbol_interval,6h,XRP,basis,futures/basis/history,2026-04-24T04:16:22.298516+00:00
2025-08-20 18:00:00+00:00,0.0544,0.0305,0.0016,0.0009,v4,symbol_interval,6h,XRP,basis,futures/basis/history,2026-04-24T04:16:22.298516+00:00
