ts,open,high,low,close,api_version,scope,interval,symbol,endpoint,path,fetched_at
2025-08-16 06:00:00+00:00,215808640,216219090,214997850,215432700,v4,symbol_interval,6h,XRP,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-23T01:01:25.986728+00:00
2025-08-16 12:00:00+00:00,215432700,215496180,214798840,215340520,v4,symbol_interval,6h,XRP,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-23T01:01:25.986728+00:00
2025-08-16 18:00:00+00:00,215340520,215466940,214912590,215109770,v4,symbol_interval,6h,XRP,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-23T01:01:25.986728+00:00
2025-08-17 00:00:00+00:00,215109770,215231930,213472330,213602660,v4,symbol_interval,6h,XRP,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-23T01:01:25.986728+00:00
2025-08-17 06:00:00+00:00,213602660,214795110,213559440,214404180,v4,symbol_interval,6h,XRP,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:17:46.259269+00:00
2025-08-17 12:00:00+00:00,214404180,214954450,214115560,214490460,v4,symbol_interval,6h,XRP,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:17:46.259269+00:00
2025-08-17 18:00:00+00:00,214490460,214955630,213439630,214927360,v4,symbol_interval,6h,XRP,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:17:46.259269+00:00
2025-08-18 00:00:00+00:00,214927360,215091650,209581220,210767270,v4,symbol_interval,6h,XRP,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:17:46.259269+00:00
2025-08-18 06:00:00+00:00,210767270,211738920,203553710,203577520,v4,symbol_interval,6h,XRP,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:17:46.259269+00:00
2025-08-18 12:00:00+00:00,203577520,204800470,202827930,202869860,v4,symbol_interval,6h,XRP,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:17:46.259269+00:00
2025-08-18 18:00:00+00:00,202869860,207487210,202598360,206300270,v4,symbol_interval,6h,XRP,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:17:46.259269+00:00
2025-08-19 00:00:00+00:00,206300270,206648890,202924980,203320750,v4,symbol_interval,6h,XRP,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:17:46.259269+00:00
2025-08-19 06:00:00+00:00,203320750,203362380,201689070,202719880,v4,symbol_interval,6h,XRP,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:17:46.259269+00:00
2025-08-19 12:00:00+00:00,202719880,204541200,200572990,201727090,v4,symbol_interval,6h,XRP,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:17:46.259269+00:00
2025-08-19 18:00:00+00:00,201727090,201908700,199108810,199525220,v4,symbol_interval,6h,XRP,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:17:46.259269+00:00
2025-08-20 00:00:00+00:00,199525220,202075580,197067600,202062470,v4,symbol_interval,6h,XRP,oi_coin_margin,futures/open-interest/aggregated-coin-margin-history,2026-04-24T04:17:46.259269+00:00
