ts,cgdi,api_version,scope,endpoint,path,fetched_at
2024-01-01 00:00:00+00:00,1000.0,v4,global,cgdi,futures/cgdi-index/history,2026-04-24T04:28:57.131574+00:00
2024-01-02 00:00:00+00:00,1053.2551,v4,global,cgdi,futures/cgdi-index/history,2026-04-24T04:28:57.131574+00:00
2024-01-03 00:00:00+00:00,1067.6727,v4,global,cgdi,futures/cgdi-index/history,2026-04-24T04:28:57.131574+00:00
2024-01-04 00:00:00+00:00,900.5659,v4,global,cgdi,futures/cgdi-index/history,2026-04-24T04:28:57.131574+00:00
2024-01-05 00:00:00+00:00,930.1563,v4,global,cgdi,futures/cgdi-index/history,2026-04-24T04:28:57.131574+00:00
2024-01-06 00:00:00+00:00,899.9644,v4,global,cgdi,futures/cgdi-index/history,2026-04-24T04:28:57.131574+00:00
2024-01-07 00:00:00+00:00,887.9416,v4,global,cgdi,futures/cgdi-index/history,2026-04-24T04:28:57.131574+00:00
2024-01-08 00:00:00+00:00,881.3919,v4,global,cgdi,futures/cgdi-index/history,2026-04-24T04:28:57.131574+00:00
2024-01-09 00:00:00+00:00,941.0508,v4,global,cgdi,futures/cgdi-index/history,2026-04-24T04:28:57.131574+00:00
2024-01-10 00:00:00+00:00,917.4313,v4,global,cgdi,futures/cgdi-index/history,2026-04-24T04:28:57.131574+00:00
2024-01-11 00:00:00+00:00,964.8036,v4,global,cgdi,futures/cgdi-index/history,2026-04-24T04:28:57.131574+00:00
2024-01-12 00:00:00+00:00,1002.3911,v4,global,cgdi,futures/cgdi-index/history,2026-04-24T04:28:57.131574+00:00
2024-01-13 00:00:00+00:00,965.6889,v4,global,cgdi,futures/cgdi-index/history,2026-04-24T04:28:57.131574+00:00
2024-01-14 00:00:00+00:00,985.3144,v4,global,cgdi,futures/cgdi-index/history,2026-04-24T04:28:57.131574+00:00
2024-01-15 00:00:00+00:00,967.6288,v4,global,cgdi,futures/cgdi-index/history,2026-04-24T04:28:57.131574+00:00
2024-01-16 00:00:00+00:00,976.1177,v4,global,cgdi,futures/cgdi-index/history,2026-04-24T04:28:57.131574+00:00
2024-01-17 00:00:00+00:00,1000.4376,v4,global,cgdi,futures/cgdi-index/history,2026-04-24T04:28:57.131574+00:00
2024-01-18 00:00:00+00:00,1001.9133,v4,global,cgdi,futures/cgdi-index/history,2026-04-24T04:28:57.131574+00:00
2024-01-19 00:00:00+00:00,979.8653,v4,global,cgdi,futures/cgdi-index/history,2026-04-24T04:28:57.131574+00:00
2024-01-20 00:00:00+00:00,967.4076,v4,global,cgdi,futures/cgdi-index/history,2026-04-24T04:28:57.131574+00:00
2024-01-21 00:00:00+00:00,972.5909,v4,global,cgdi,futures/cgdi-index/history,2026-04-24T04:28:57.131574+00:00
2024-01-22 00:00:00+00:00,966.6171,v4,global,cgdi,futures/cgdi-index/history,2026-04-24T04:28:57.131574+00:00
2024-01-23 00:00:00+00:00,919.9425,v4,global,cgdi,futures/cgdi-index/history,2026-04-24T04:28:57.131574+00:00
2024-01-24 00:00:00+00:00,894.2424,v4,global,cgdi,futures/cgdi-index/history,2026-04-24T04:28:57.131574+00:00
2024-01-25 00:00:00+00:00,908.6832,v4,global,cgdi,futures/cgdi-index/history,2026-04-24T04:28:57.131574+00:00
2024-01-26 00:00:00+00:00,912.6694,v4,global,cgdi,futures/cgdi-index/history,2026-04-24T04:28:57.131574+00:00
2024-01-27 00:00:00+00:00,953.2262,v4,global,cgdi,futures/cgdi-index/history,2026-04-24T04:28:57.131574+00:00
2024-01-28 00:00:00+00:00,954.4334,v4,global,cgdi,futures/cgdi-index/history,2026-04-24T04:28:57.131574+00:00
2024-01-29 00:00:00+00:00,930.943,v4,global,cgdi,futures/cgdi-index/history,2026-04-24T04:28:57.131574+00:00
2024-01-30 00:00:00+00:00,977.3298,v4,global,cgdi,futures/cgdi-index/history,2026-04-24T04:28:57.131574+00:00
2024-01-31 00:00:00+00:00,968.8374,v4,global,cgdi,futures/cgdi-index/history,2026-04-24T04:28:57.131574+00:00
2024-02-01 00:00:00+00:00,936.2576,v4,global,cgdi,futures/cgdi-index/history,2026-04-24T04:28:57.131574+00:00
2024-02-02 00:00:00+00:00,957.7006,v4,global,cgdi,futures/cgdi-index/history,2026-04-24T04:28:57.131574+00:00
2024-02-03 00:00:00+00:00,966.1931,v4,global,cgdi,futures/cgdi-index/history,2026-04-24T04:28:57.131574+00:00
2024-02-04 00:00:00+00:00,969.9067,v4,global,cgdi,futures/cgdi-index/history,2026-04-24T04:28:57.131574+00:00
2024-02-05 00:00:00+00:00,959.3575,v4,global,cgdi,futures/cgdi-index/history,2026-04-24T04:28:57.131574+00:00
2024-02-06 00:00:00+00:00,980.1857,v4,global,cgdi,futures/cgdi-index/history,2026-04-24T04:28:57.131574+00:00
2024-02-07 00:00:00+00:00,1015.9514,v4,global,cgdi,futures/cgdi-index/history,2026-04-24T04:28:57.131574+00:00
2024-02-08 00:00:00+00:00,1051.4602,v4,global,cgdi,futures/cgdi-index/history,2026-04-24T04:28:57.131574+00:00
2024-02-09 00:00:00+00:00,1070.1838,v4,global,cgdi,futures/cgdi-index/history,2026-04-24T04:28:57.131574+00:00
2024-02-10 00:00:00+00:00,1088.486,v4,global,cgdi,futures/cgdi-index/history,2026-04-24T04:28:57.131574+00:00
2024-02-11 00:00:00+00:00,1109.2257,v4,global,cgdi,futures/cgdi-index/history,2026-04-24T04:28:57.131574+00:00
2024-02-12 00:00:00+00:00,1127.0436,v4,global,cgdi,futures/cgdi-index/history,2026-04-24T04:28:57.131574+00:00
