exchange,symbol,open_interest_usd,open_interest_quantity,open_interest_by_coin_margin,open_interest_by_stable_coin_margin,open_interest_quantity_by_coin_margin,open_interest_quantity_by_stable_coin_margin,open_interest_change_percent_5m,open_interest_change_percent_15m,open_interest_change_percent_30m,open_interest_change_percent_1h,open_interest_change_percent_4h,open_interest_change_percent_24h,api_version,scope,endpoint,path,fetched_at
All,ADA,449671465.1795,1811893029.5362,20150545.3,429520919.88,81153757.3058,1730739272.2304,-0.21,-0.24,-0.49,-0.85,-3.38,-1.07,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:24.707393+00:00
Binance,ADA,92516055.92173,372742203.8,7374770.0,85141285.92173,29713013.7,343029190.1,0.02,-0.08,-0.24,-0.68,-3.82,0.0,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:24.707393+00:00
Bybit,ADA,60742746.08,244716596.52,3385254.0,57357492.08,13622752.52,231093844.0,-0.07,-0.14,-0.13,-0.6,-1.7,-2.36,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:24.707393+00:00
Bitget,ADA,53899193.73,217228690.0,2998955.2333,50900238.4967,12077951.0,205150739.0,-0.25,-0.11,-0.05,-1.8,-4.22,5.49,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:24.707393+00:00
LBank,ADA,45246532.3998,182372158.0,0.0,45246532.3998,0.0,182372158.0,-0.04,-0.16,-0.24,0.21,-1.32,-0.74,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:24.707393+00:00
KuCoin,ADA,38779374.7413,156173230.0,0.0,38779374.7413,0.0,156173230.0,-0.17,-0.09,-1.39,-2.1,-5.66,-3.76,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:24.707393+00:00
BingX,ADA,36672515.41791859,147760600.2443,1152788.88791859,35519726.53,4646468.7139,143114131.5304,-1.93,-2.03,-3.27,-6.19,-9.99,-4.9,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:24.707393+00:00
OKX,ADA,30045259.83999998,121136859.38808367,2060920.0,27984339.83999998,8296779.3880837355,112840079.99999993,-0.16,-0.15,-0.31,-0.32,-3.0,-2.0,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:24.707393+00:00
MEXC,ADA,21876451.431,88139541.5197,1446300.0,20430151.431,5827155.5197,82312386.0,0.25,-0.49,-0.62,3.8,1.65,-4.12,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:24.707393+00:00
WhiteBIT,ADA,20459027.84205,82467150.0,0.0,20459027.84205,0.0,82467150.0,0.0,-0.1,-0.2,-0.39,-3.5,-0.52,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:24.707393+00:00
Hyperliquid,ADA,12605027.12832,50793952.0,0.0,12605027.12832,0.0,50793952.0,-0.08,0.15,0.04,0.44,-0.67,-0.38,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:24.707393+00:00
Gate,ADA,11510589.576,46394960.0,0.0,11510589.576,0.0,46394960.0,-0.07,0.53,2.12,3.74,-2.83,1.07,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:24.707393+00:00
Bitunix,ADA,6616865.8318,26659328.0,625867.325,5990998.5068,2521625.0,24137703.0,0.14,-0.18,-0.21,0.5,4.28,7.13,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:24.707393+00:00
CME,ADA,4649394.0,18740000.0,0.0,4649394.0,0.0,18740000.0,-0.04,-0.16,-0.24,0.03,-1.23,-3.72,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:24.707393+00:00
CoinEx,ADA,4622230.2585,18600595.0,0.0,4622230.2585,0.0,18600595.0,0.0,2.29,1.8,2.2,0.49,-16.24,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:24.707393+00:00
Kraken,ADA,2969760.15236,11952188.0,0.0,2969760.15236,0.0,11952188.0,-0.06,-0.22,-0.18,1.15,-0.11,5.21,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:24.707393+00:00
HTX,ADA,2465764.85884,9938600.5841276,406900.0,2058864.85884,1640540.5841275984,8298060.0,-0.1,0.19,0.01,0.62,0.7,-7.44,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:24.707393+00:00
Bitmex,ADA,1257007.091899,5054450.88,698789.850499,558217.2414,2807470.88,2246980.0,-0.01,-0.17,-0.26,-0.54,-3.62,-4.38,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:24.707393+00:00
Coinbase,ADA,852434.0316,3431699.0,0.0,852434.0316,0.0,3431699.0,-0.04,-0.26,-0.77,3.3,1.18,-2.66,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:24.707393+00:00
Lighter,ADA,729359.971028,2938834.6,0.0,729359.971028,0.0,2938834.6,-0.24,-0.34,-0.43,-2.76,-8.34,-12.6,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:24.707393+00:00
Aster,ADA,550537.834,2215444.0,0.0,550537.834,0.0,2215444.0,0.08,-0.08,-0.34,-1.06,-3.98,-4.04,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:24.707393+00:00
Crypto.com,ADA,331948.90464,1335918.0,0.0,331948.90464,0.0,1335918.0,-0.08,-0.15,-0.88,1.85,-0.94,0.69,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:24.707393+00:00
dYdX,ADA,273388.136706751,1100030.0,0.0,273388.136706751,0.0,1100030.0,-0.06,-0.12,-0.18,0.09,-2.77,-0.57,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:24.707393+00:00
