exchange,symbol,open_interest_usd,open_interest_quantity,open_interest_by_coin_margin,open_interest_by_stable_coin_margin,open_interest_quantity_by_coin_margin,open_interest_quantity_by_stable_coin_margin,open_interest_change_percent_5m,open_interest_change_percent_15m,open_interest_change_percent_30m,open_interest_change_percent_1h,open_interest_change_percent_4h,open_interest_change_percent_24h,api_version,scope,endpoint,path,fetched_at
All,AVAX,391269733.6663,41996557.8779,10039805.29,381229928.38,1077607.9497,40918949.9282,-0.31,-0.53,-0.11,-0.45,-1.92,-0.59,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:28.469457+00:00
Binance,AVAX,89706624.11574,9628402.34,2388610.0,87318014.11574,256563.91,9371838.43,-0.12,-0.44,-0.26,-0.77,-3.01,-1.1,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:28.469457+00:00
Bybit,AVAX,54614539.26,5863401.16,2023870.0,52590669.26,216990.46,5646410.7,-0.12,-0.37,-0.1,-0.6,-2.25,0.3,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:28.469457+00:00
LBank,AVAX,44587621.54,4785620.0,0.0,44587621.54,0.0,4785620.0,-0.08,-0.25,0.09,-0.09,-1.7,-0.89,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:28.469457+00:00
Hyperliquid,AVAX,42171287.110231996,4525010.42,0.0,42171287.110231996,0.0,4525010.42,-0.11,-0.23,0.97,0.42,-0.35,0.03,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:28.469457+00:00
BingX,AVAX,37042486.7695253,3977032.6321,484152.5095253,36558334.26,51964.4209,3925068.2112,-1.94,-1.9,-2.83,-3.89,0.16,-6.43,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:28.469457+00:00
Bitget,AVAX,29133409.3193,3126951.94,2117613.7881,27015795.5312,227333.74,2899618.2,-0.18,-0.28,-0.24,0.13,-2.49,10.54,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:28.469457+00:00
WhiteBIT,AVAX,18693358.002,2008980.0,0.0,18693358.002,0.0,2008980.0,-0.12,-0.45,-0.22,-0.59,-3.09,-1.5,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:28.469457+00:00
KuCoin,AVAX,17079707.925,1830622.5,0.0,17079707.925,0.0,1830622.5,-0.3,-1.0,-0.17,5.28,5.94,4.29,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:28.469457+00:00
OKX,AVAX,16283425.579299996,1748369.0222520104,672080.0,15611345.579299996,72072.92225201073,1676296.0999999996,-0.19,-0.41,0.01,0.57,-3.72,-3.67,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:28.469457+00:00
MEXC,AVAX,15165959.9144,1627863.5265,1199280.0,13966679.9144,128816.3265,1499047.2,-0.13,-0.98,2.82,-1.78,-7.94,-9.11,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:28.469457+00:00
Gate,AVAX,8417462.284,903452.0,0.0,8417462.284,0.0,903452.0,-0.41,-0.04,1.21,3.03,2.15,1.07,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:28.469457+00:00
Bitunix,AVAX,6374907.9217,684242.21,373531.6305,6001376.2912,40121.55,644120.66,-0.16,0.67,1.58,-2.98,-4.87,22.44,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:28.469457+00:00
Kraken,AVAX,3503245.094,375683.12,0.0,3503245.094,0.0,375683.12,-0.09,-0.25,0.08,-0.85,-2.07,1.12,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:28.469457+00:00
Lighter,AVAX,2424225.629988,260171.46,0.0,2424225.629988,0.0,260171.46,-0.11,-0.29,0.07,-1.02,-4.63,-13.37,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:28.469457+00:00
