exchange,symbol,open_interest_usd,open_interest_quantity,open_interest_by_coin_margin,open_interest_by_stable_coin_margin,open_interest_quantity_by_coin_margin,open_interest_quantity_by_stable_coin_margin,open_interest_change_percent_5m,open_interest_change_percent_15m,open_interest_change_percent_30m,open_interest_change_percent_1h,open_interest_change_percent_4h,open_interest_change_percent_24h,api_version,scope,endpoint,path,fetched_at
All,BNB,985359889.4613,1532810.7987,74297271.66,911062617.8,115519.8411,1417290.9576,0.01,0.08,0.06,0.03,-1.15,3.5,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-22T21:32:31.749062+00:00
Binance,BNB,454196644.1518,706243.52,62426680.0,391769964.1518,97060.19,609183.33,0.0,0.06,0.09,0.0,-1.81,2.08,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-22T21:32:31.749062+00:00
Bybit,BNB,105326609.86,163931.99,0.0,105326609.86,0.0,163931.99,0.0,0.08,-0.27,-0.45,-1.71,9.02,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-22T21:32:31.749062+00:00
Bitget,BNB,69344726.6121,107956.35,0.0,69344726.6121,0.0,107956.35,0.1,0.13,-0.1,-0.01,0.91,11.58,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-22T21:32:31.749062+00:00
OKX,BNB,52469801.727,81690.49,0.0,52469801.727,0.0,81690.49,0.03,0.07,0.07,-0.08,-1.68,5.97,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-22T21:32:31.749062+00:00
BingX,BNB,52020655.395468,80935.8348,3625191.225468,48395464.17,5636.7062,75299.1286,0.06,0.23,0.16,0.79,4.47,15.51,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-22T21:32:31.749062+00:00
WhiteBIT,BNB,44511775.969,69257.47,0.0,44511775.969,0.0,69257.47,0.0,0.01,0.02,-0.01,-2.1,3.51,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-22T21:32:31.749062+00:00
MEXC,BNB,43716767.5572,67990.47,0.0,43716767.5572,0.0,67990.47,0.03,0.09,0.18,0.13,-1.62,0.45,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-22T21:32:31.749062+00:00
KuCoin,BNB,30239374.41,47057.85,0.0,30239374.41,0.0,47057.85,0.04,0.1,0.23,-0.24,-0.41,-10.78,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-22T21:32:31.749062+00:00
Bitunix,BNB,29431818.490441,45764.4449,5007243.370941,24424575.1195,7786.2249,37978.22,-0.24,-0.15,-0.22,0.34,-5.63,-6.25,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-22T21:32:31.749062+00:00
Hyperliquid,BNB,29122353.55512,45324.504,0.0,29122353.55512,0.0,45324.504,0.01,0.05,0.21,0.01,-0.64,1.12,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-22T21:32:31.749062+00:00
Gate,BNB,25676097.5244,39959.688,0.0,25676097.5244,0.0,39959.688,0.0,0.31,0.33,-0.12,-0.38,8.63,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-22T21:32:31.749062+00:00
LBank,BNB,20837844.852,32404.2,0.0,20837844.852,0.0,32404.2,0.02,0.24,1.0,2.21,3.37,-2.75,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-22T21:32:31.749062+00:00
Lighter,BNB,8129702.323746,12655.26,0.0,8129702.323746,0.0,12655.26,0.03,0.12,0.2,0.0,0.09,0.96,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-22T21:32:31.749062+00:00
HTX,BNB,5515872.8258,8586.7,0.0,5515872.8258,0.0,8586.7,0.04,0.1,0.26,0.1,-0.21,2.28,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-22T21:32:31.749062+00:00
Aster,BNB,5296235.4563,8236.63,0.0,5296235.4563,0.0,8236.63,-0.04,0.04,-0.48,-0.2,0.0,-2.42,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-22T21:32:31.749062+00:00
Bitmex,BNB,4803503.045699275,7472.37,3238157.068049275,1565345.97765,5036.72,2435.65,0.07,0.13,0.29,0.09,-1.07,3.09,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-22T21:32:31.749062+00:00
Kraken,BNB,1978996.0016,3077.18,0.0,1978996.0016,0.0,3077.18,0.09,0.09,0.28,0.02,-1.22,-0.68,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-22T21:32:31.749062+00:00
CoinEx,BNB,1639275.8403,2549.93,0.0,1639275.8403,0.0,2549.93,-0.22,0.11,0.21,-0.57,-1.07,7.82,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-22T21:32:31.749062+00:00
Coinbase,BNB,918713.44972,1431.107,0.0,918713.44972,0.0,1431.107,0.0,0.0,-0.16,-0.16,-0.81,1.05,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-22T21:32:31.749062+00:00
dYdX,BNB,183120.413594126,284.81,0.0,183120.413594126,0.0,284.81,0.08,0.08,0.3,0.21,-0.48,-1.85,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-22T21:32:31.749062+00:00
All,BNB,965976719.3422,1512395.2479,74353344.4,891623374.94,116331.3631,1396063.8848,-0.05,-0.25,-0.25,-0.42,-1.97,0.21,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:18.332206+00:00
Binance,BNB,447928709.0235,700986.6,62605340.0,385323369.0235,97955.15,603031.45,0.05,0.0,0.09,0.05,-1.38,0.02,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:18.332206+00:00
Bybit,BNB,103204064.42,161710.21,0.0,103204064.42,0.0,161710.21,0.03,-0.07,-0.14,-0.91,-2.37,6.06,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:18.332206+00:00
