exchange,symbol,open_interest_usd,open_interest_quantity,open_interest_by_coin_margin,open_interest_by_stable_coin_margin,open_interest_quantity_by_coin_margin,open_interest_quantity_by_stable_coin_margin,open_interest_change_percent_5m,open_interest_change_percent_15m,open_interest_change_percent_30m,open_interest_change_percent_1h,open_interest_change_percent_4h,open_interest_change_percent_24h,api_version,scope,endpoint,path,fetched_at
All,BTC,63000073853.9915,801598.7921,5798936494.26,57201137359.73,73679.8618,727918.9303,0.0,0.0,0.07,-0.14,-0.82,12.04,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-22T21:32:24.297755+00:00
Binance,BTC,10791639245.7819,137318.073,1345897500.0,9445741745.7819,17115.68,120202.393,0.07,0.05,0.13,-0.05,-1.21,12.3,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-22T21:32:24.297755+00:00
CME,BTC,10033502195.44,127681.4,0.0,10033502195.44,0.0,127681.4,0.07,0.04,0.18,0.04,-0.31,2.32,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-22T21:32:24.297755+00:00
MEXC,BTC,6965351370.4851,88642.9817,33679500.0,6931671870.4851,428.4858,88214.4959,-0.16,0.02,0.06,-0.29,-1.72,24.22,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-22T21:32:24.297755+00:00
Gate,BTC,5606351213.65192,71352.4348,15701998.0,5590649215.65192,200.05,71152.3848,-0.06,-0.18,-0.15,-0.61,-2.86,23.81,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-22T21:32:24.297755+00:00
Bybit,BTC,5163289411.57,65701.125,421334174.0,4741955237.57,5359.14,60341.985,-0.04,-0.08,0.0,-0.2,-0.14,15.85,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-22T21:32:24.297755+00:00
OKX,BTC,3721362504.6130257,47348.71679371224,763419810.0,2957942694.6130257,9705.988393711916,37642.72840000033,-0.01,-0.12,-0.07,-0.58,-1.12,11.64,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-22T21:32:24.297755+00:00
HTX,BTC,2720144211.2348,34628.703899323526,27391200.0,2692753011.2348,348.650899323522,34280.053,0.06,0.06,0.2,0.0,-0.16,6.78,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-22T21:32:24.297755+00:00
KuCoin,BTC,2642157410.2,33615.0031,116731054.0,2525426356.2,1484.95,32130.0531,-0.25,-0.08,0.23,1.45,3.82,12.43,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-22T21:32:24.297755+00:00
Deribit,BTC,2334177070.0,29618.76,2334177070.0,0.0,29618.76,0.0,0.0,0.02,0.04,0.05,2.5,5.0,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-22T21:32:24.297755+00:00
Hyperliquid,BTC,2224028654.7246,28304.8929,0.0,2224028654.7246,0.0,28304.8929,-0.01,-0.09,-0.29,-0.51,0.6,18.39,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-22T21:32:24.297755+00:00
WhiteBIT,BTC,2066805413.2068,26299.651,0.0,2066805413.2068,0.0,26299.651,0.04,-0.02,0.06,-0.23,-1.42,12.93,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-22T21:32:24.297755+00:00
