date,call_open_interest_market_value,put_open_interest,put_open_interest_market_value,max_pain_price,call_open_interest,call_open_interest_notional,put_open_interest_notional,api_version,scope,symbol,endpoint,path,fetched_at
260423,1343247.43,2073.1,100797.43,77000,1254.34,98621437.93,163005780.63,v4,snapshot,BTC,option_maxpain,option/max-pain,2026-04-22T21:32:37.762227+00:00
260424,169171283.36,52431.13,27780466.91,72000,57430.42,4515557367.16,4122158900.68,v4,snapshot,BTC,option_maxpain,option/max-pain,2026-04-22T21:32:37.762227+00:00
260425,462187.18,1392.34,149022.63,76500,470.98,37024367.08,109445867.85,v4,snapshot,BTC,option_maxpain,option/max-pain,2026-04-22T21:32:37.762227+00:00
260426,140675.78,167.52,80086.09,78500,397.83,31273678.18,13168459.36,v4,snapshot,BTC,option_maxpain,option/max-pain,2026-04-22T21:32:37.762227+00:00
260501,14072597.89,9603.46,3788211.44,76000,7429.47,584097323.46,755005836.21,v4,snapshot,BTC,option_maxpain,option/max-pain,2026-04-22T21:32:37.762227+00:00
260508,6264890.03,1605.1,1296626.91,77000,4527.0,356019320.35,126186362.08,v4,snapshot,BTC,option_maxpain,option/max-pain,2026-04-22T21:32:37.762227+00:00
260529,140609453.39,18368.64,21160649.07,72000,37211.25,2925287754.58,1444061547.95,v4,snapshot,BTC,option_maxpain,option/max-pain,2026-04-22T21:32:37.762227+00:00
260626,215454416.74,44430.83,263677730.71,76000,60998.75,4795304142.0,3492793992.18,v4,snapshot,BTC,option_maxpain,option/max-pain,2026-04-22T21:32:37.762227+00:00
260925,171105868.32,25092.9,119786948.95,75000,38815.7,3051519128.51,1972505510.9,v4,snapshot,BTC,option_maxpain,option/max-pain,2026-04-22T21:32:37.762227+00:00
261225,234045801.69,25144.5,120175887.42,72000,42982.5,3379401529.59,1976589895.35,v4,snapshot,BTC,option_maxpain,option/max-pain,2026-04-22T21:32:37.762227+00:00
270326,33637889.86,2873.9,11571958.41,70000,4105.5,322823747.58,225969462.19,v4,snapshot,BTC,option_maxpain,option/max-pain,2026-04-22T21:32:37.762227+00:00
260423,1096459.04,2065.8,102217.18,77000,1195.25,93675413.09,161879103.43,v4,snapshot,BTC,option_maxpain,option/max-pain,2026-04-23T01:09:35.772984+00:00
260424,163246643.87,52413.36,28291484.25,72000,57837.41,4532896875.85,4107795626.48,v4,snapshot,BTC,option_maxpain,option/max-pain,2026-04-23T01:09:35.772984+00:00
260425,432684.3,1404.04,157257.3,76500,470.73,36893856.41,110048842.92,v4,snapshot,BTC,option_maxpain,option/max-pain,2026-04-23T01:09:35.772984+00:00
260426,110828.76,220.02,91985.13,78500,392.43,30764643.94,17245880.22,v4,snapshot,BTC,option_maxpain,option/max-pain,2026-04-23T01:09:35.772984+00:00
260501,13319248.02,9624.42,4062266.77,76000,7441.97,583207391.48,754317180.45,v4,snapshot,BTC,option_maxpain,option/max-pain,2026-04-23T01:09:35.772984+00:00
260508,5990504.09,1605.7,1357587.62,77000,4559.8,357320701.95,125848118.29,v4,snapshot,BTC,option_maxpain,option/max-pain,2026-04-23T01:09:35.772984+00:00
260529,138434615.52,18369.84,22046981.71,72000,37187.65,2914863732.93,1439932883.17,v4,snapshot,BTC,option_maxpain,option/max-pain,2026-04-23T01:09:35.772984+00:00
260626,211635572.44,44614.19,264665780.73,76000,60985.74,4780620112.47,3497195959.86,v4,snapshot,BTC,option_maxpain,option/max-pain,2026-04-23T01:09:35.772984+00:00
260925,169266825.21,25083.6,120514614.97,75000,38833.4,3043760928.84,1966378154.97,v4,snapshot,BTC,option_maxpain,option/max-pain,2026-04-23T01:09:35.772984+00:00
261225,232428574.9,25148.4,120142828.9,72000,42992.2,3369574900.33,1971223040.77,v4,snapshot,BTC,option_maxpain,option/max-pain,2026-04-23T01:09:35.772984+00:00
270326,33519359.56,2876.8,11685795.02,70000,4104.1,321648285.9,225425693.18,v4,snapshot,BTC,option_maxpain,option/max-pain,2026-04-23T01:09:35.772984+00:00
260424,124199884.92,53173.62,22075331.22,73000,53768.91,4182337353.49,4135696584.09,v4,snapshot,BTC,option_maxpain,option/max-pain,2026-04-24T04:29:36.506126+00:00
260425,700085.7,1634.69,132682.81,76500,609.68,47420694.07,127243538.83,v4,snapshot,BTC,option_maxpain,option/max-pain,2026-04-24T04:29:36.506126+00:00
260426,86504.66,472.69,164674.36,78500,643.46,50066414.41,36760961.09,v4,snapshot,BTC,option_maxpain,option/max-pain,2026-04-24T04:29:36.506126+00:00
260427,78887.15,412.82,139210.42,78000,311.52,24211631.19,32111470.77,v4,snapshot,BTC,option_maxpain,option/max-pain,2026-04-24T04:29:36.506126+00:00
260501,11031967.88,10386.53,4320212.16,76000,7848.01,610444667.84,808090955.15,v4,snapshot,BTC,option_maxpain,option/max-pain,2026-04-24T04:29:36.506126+00:00
260508,4975183.27,2372.49,2347740.51,77000,5037.65,391861962.26,184531089.94,v4,snapshot,BTC,option_maxpain,option/max-pain,2026-04-24T04:29:36.506126+00:00
260515,312741.5,402.4,790012.9,78000,147.7,11489097.28,31291272.2,v4,snapshot,BTC,option_maxpain,option/max-pain,2026-04-24T04:29:36.506126+00:00
260529,119975761.98,18576.79,23154506.76,73000,36298.36,2823526851.55,1444633807.34,v4,snapshot,BTC,option_maxpain,option/max-pain,2026-04-24T04:29:36.506126+00:00
260626,203617054.56,45190.96,265774131.25,76000,61598.91,4791347182.21,3514796035.35,v4,snapshot,BTC,option_maxpain,option/max-pain,2026-04-24T04:29:36.506126+00:00
260731,183006.32,192.1,969708.92,82000,66.7,5186339.1,14950500.31,v4,snapshot,BTC,option_maxpain,option/max-pain,2026-04-24T04:29:36.506126+00:00
260925,171230855.83,25326.8,124702310.57,75000,39499.7,3071830571.79,1969592125.02,v4,snapshot,BTC,option_maxpain,option/max-pain,2026-04-24T04:29:36.506126+00:00
261225,230092801.77,24857.0,116481696.57,72000,43649.6,3394849665.41,1933660997.37,v4,snapshot,BTC,option_maxpain,option/max-pain,2026-04-24T04:29:36.506126+00:00
270326,33944420.14,2990.7,12652409.03,70000,4189.1,325808923.73,232587318.0,v4,snapshot,BTC,option_maxpain,option/max-pain,2026-04-24T04:29:36.506126+00:00
