exchange,symbol,open_interest_usd,open_interest_quantity,open_interest_by_coin_margin,open_interest_by_stable_coin_margin,open_interest_quantity_by_coin_margin,open_interest_quantity_by_stable_coin_margin,open_interest_change_percent_5m,open_interest_change_percent_15m,open_interest_change_percent_30m,open_interest_change_percent_1h,open_interest_change_percent_4h,open_interest_change_percent_24h,api_version,scope,endpoint,path,fetched_at
All,ETH,32896121734.6019,13720493.1668,1914161879.25,30981959855.35,797481.8307,12923011.3361,0.04,0.14,0.06,-0.06,0.1,7.12,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-22T21:32:27.912951+00:00
Binance,ETH,7733606210.691954,3225475.547,633891583.4283835,7099714627.26357,264301.99,2961173.557,-0.02,0.09,0.07,-0.03,1.02,10.88,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-22T21:32:27.912951+00:00
CME,ETH,3732857254.86,1557063.5,0.0,3732857254.86,0.0,1557063.5,0.01,0.16,0.18,0.01,0.15,1.06,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-22T21:32:27.912951+00:00
Gate,ETH,3198097744.7476,1334219.62,0.0,3198097744.7476,0.0,1334219.62,-0.06,0.13,-0.34,-0.64,-1.51,12.42,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-22T21:32:27.912951+00:00
MEXC,ETH,2618663081.7607,1092300.895,48584420.0,2570078661.7607,20263.265,1072037.63,0.12,0.0,0.21,0.41,1.33,-4.83,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-22T21:32:27.912951+00:00
Bybit,ETH,2305697307.81,961576.08,159282294.0,2146415013.81,66363.58,895212.5,0.02,0.12,0.05,0.12,0.71,12.03,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-22T21:32:27.912951+00:00
Bitget,ETH,2062562222.176,860350.94,141881710.5077,1920680511.6683,59150.03,801200.91,0.05,0.03,-0.24,-0.57,-2.79,4.42,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-22T21:32:27.912951+00:00
OKX,ETH,1891365934.8483038,788920.8416818104,246079100.0,1645286834.8483038,102578.11468180886,686342.7270000016,0.0,0.04,-0.26,-0.24,-0.37,12.0,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-22T21:32:27.912951+00:00
HTX,ETH,1615532301.0975,674050.9874367923,5213570.0,1610318731.0975,2175.0174367923646,671875.97,0.03,0.18,0.18,-0.03,0.08,4.05,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-22T21:32:27.912951+00:00
WhiteBIT,ETH,1345490549.1286,561058.22,0.0,1345490549.1286,0.0,561058.22,0.0,0.09,0.0,-0.07,1.14,13.15,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-22T21:32:27.912951+00:00
Bitunix,ETH,1074241051.055094,448089.0404,24250996.362444,1049990054.69265,10114.4434,437974.597,-0.01,0.19,-0.26,-1.18,2.97,25.6,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-22T21:32:27.912951+00:00
Hyperliquid,ETH,1058975869.06934,441773.7554,0.0,1058975869.06934,0.0,441773.7554,0.03,0.19,0.2,0.13,1.19,4.52,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-22T21:32:27.912951+00:00
BingX,ETH,904343761.390976,377241.6667,21225559.210976,883118202.18,8852.2451,368389.4216,0.88,1.06,1.51,0.52,-7.54,4.68,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-22T21:32:27.912951+00:00
Crypto.com,ETH,826241817.872049,344529.1691,0.0,826241817.872049,0.0,344529.1691,0.04,0.2,0.25,0.01,0.24,3.58,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-22T21:32:27.912951+00:00
KuCoin,ETH,716965348.45332,299011.826,30731170.0,686234178.45332,12843.13,286168.696,0.13,0.26,0.34,1.18,4.63,3.22,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-22T21:32:27.912951+00:00
LBank,ETH,652527087.4122,272159.58,0.0,652527087.4122,0.0,272159.58,0.39,0.55,0.51,0.35,0.45,6.18,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-22T21:32:27.912951+00:00
Deribit,ETH,578686436.0,240696.47,578686436.0,0.0,240696.47,0.0,0.0,0.0,-0.01,0.0,0.2,1.13,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-22T21:32:27.912951+00:00
Aster,ETH,203611540.42246,84928.029,0.0,203611540.42246,0.0,84928.029,0.03,0.04,0.14,0.01,-0.33,2.81,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-22T21:32:27.912951+00:00
Lighter,ETH,146051307.912332,60916.14,0.0,146051307.912332,0.0,60916.14,0.0,0.12,-0.39,-0.6,-5.43,0.23,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-22T21:32:27.912951+00:00
Coinbase,ETH,81692088.947865,34053.2687,0.0,81692088.947865,0.0,34053.2687,-0.14,-0.11,0.0,0.78,0.22,2.05,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-22T21:32:27.912951+00:00
Kraken,ETH,53535294.1169,22318.336,2151209.0,51384085.1169,897.48,21420.856,0.02,0.09,-0.5,-0.66,-2.76,13.85,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-22T21:32:27.912951+00:00
CoinEx,ETH,26006626.6037,10838.6201,2987880.0,23018746.6037,1245.3651,9593.255,-0.01,0.12,0.46,1.99,1.96,-5.64,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-22T21:32:27.912951+00:00
Bitmex,ETH,25789184.090178646,10749.68,19195950.737758644,6593233.35242,8000.7,2748.98,0.03,0.18,0.5,-0.09,0.06,9.88,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-22T21:32:27.912951+00:00
Bitfinex,ETH,21895817.34073492,9130.86628054,0.0,21895817.34073492,0.0,9130.86628054,0.08,0.32,0.42,0.38,1.19,-1.86,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-22T21:32:27.912951+00:00
dYdX,ETH,21685896.794075254,9040.088,0.0,21685896.794075254,0.0,9040.088,0.05,0.56,0.61,0.38,0.61,-11.4,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-22T21:32:27.912951+00:00
All,ETH,31963876192.3661,13497688.2247,1890781195.89,30073094996.47,797361.3443,12700326.8804,0.0,-0.14,-0.16,-1.19,-2.78,3.15,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:16.506040+00:00
Binance,ETH,7523013882.184985,3176487.855,615808417.2272351,6907205464.95775,259935.31,2916552.545,0.04,-0.15,-0.34,-1.48,-2.68,7.47,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:16.506040+00:00
CME,ETH,3686908447.245,1557063.5,0.0,3686908447.245,0.0,1557063.5,0.02,-0.16,-0.3,-0.13,-1.07,-0.73,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:16.506040+00:00
Gate,ETH,2980073709.4392,1258960.88,0.0,2980073709.4392,0.0,1258960.88,-0.13,-0.56,-0.73,-4.42,-7.06,2.08,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:16.506040+00:00
MEXC,ETH,2482067289.7967,1048214.0114,47470480.0,2434596809.7967,20039.6314,1028174.38,0.01,0.46,0.29,-0.17,-5.1,-9.01,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:16.506040+00:00
Bybit,ETH,2281568787.26,963385.78,158591972.0,2122976815.26,66902.66,896483.12,0.03,-0.17,0.09,-0.46,-1.0,9.22,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:16.506040+00:00
Bitget,ETH,2003971914.1689,846206.91,139277920.9443,1864693993.2246,58757.8,787449.11,-0.14,0.01,0.28,-2.08,-3.05,0.11,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:16.506040+00:00
OKX,ETH,1792105483.9062254,756763.0915027458,242550750.0,1549554733.9062254,102367.0695027435,654396.0220000023,0.05,-0.14,-0.23,-2.7,-5.48,3.35,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:16.506040+00:00
HTX,ETH,1590955762.783,672056.2356943607,5005120.0,1585950642.783,2115.525694360654,669940.71,0.03,-0.18,-0.31,-0.38,-1.4,1.77,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:16.506040+00:00
WhiteBIT,ETH,1296633832.704,547518.72,0.0,1296633832.704,0.0,547518.72,0.0,-0.23,-0.45,-2.2,-3.63,8.11,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:16.506040+00:00
BingX,ETH,1070423693.472325,452081.6488,23123698.792325,1047299994.68,9763.4675,442318.1813,0.08,1.15,3.96,11.4,19.55,24.53,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:16.506040+00:00
Hyperliquid,ETH,1029872362.8141003,435040.9170000001,0.0,1029872362.8141003,0.0,435040.9170000001,-0.07,-0.24,0.0,-0.46,-2.56,1.63,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:16.506040+00:00
Bitunix,ETH,963630613.982856,407045.1472,23755412.584436,939875201.39842,10030.0252,397015.122,-0.09,-1.32,-2.01,-6.13,-10.13,5.72,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:16.506040+00:00
Crypto.com,ETH,815888977.242378,344509.0199,0.0,815888977.242378,0.0,344509.0199,0.02,-0.2,-0.39,-0.2,-1.08,1.72,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:16.506040+00:00
KuCoin,ETH,663425225.27875,280035.749,30994614.0,632430611.27875,13079.44,266956.309,0.02,-0.59,-0.66,-3.3,-7.11,-4.79,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:16.506040+00:00
LBank,ETH,640171983.0672,270388.572,0.0,640171983.0672,0.0,270388.572,0.09,-0.05,-0.2,-0.18,-1.39,3.69,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:16.506040+00:00
Deribit,ETH,579984245.0,244151.12,579984245.0,0.0,244151.12,0.0,0.0,-0.02,-0.17,-0.06,0.2,1.27,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:16.506040+00:00
Aster,ETH,198509311.53136,83832.513,0.0,198509311.53136,0.0,83832.513,0.32,0.07,-0.66,-0.87,-2.49,1.06,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:16.506040+00:00
Lighter,ETH,139961676.7104,59105.44,0.0,139961676.7104,0.0,59105.44,-0.08,-0.18,-0.27,-1.83,-4.35,-1.99,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:16.506040+00:00
