exchange,symbol,open_interest_usd,open_interest_quantity,open_interest_by_coin_margin,open_interest_by_stable_coin_margin,open_interest_quantity_by_coin_margin,open_interest_quantity_by_stable_coin_margin,open_interest_change_percent_5m,open_interest_change_percent_15m,open_interest_change_percent_30m,open_interest_change_percent_1h,open_interest_change_percent_4h,open_interest_change_percent_24h,api_version,scope,endpoint,path,fetched_at
All,LINK,412292728.5397,44447392.4717,16649763.34,395642965.2,1793867.9441,42653524.5276,0.0,-0.25,-0.23,-0.47,-2.05,0.87,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:27.188896+00:00
Binance,LINK,92737661.17274,10001856.56,4217400.0,88520261.17274,454902.38,9546954.18,0.04,-0.22,-0.21,-0.53,-2.25,1.96,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:27.188896+00:00
Bitget,LINK,59019146.93475,6367101.15,5600508.012,53418638.92275,603243.0,5763858.15,-0.11,-0.21,0.17,-0.75,-1.96,7.04,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:27.188896+00:00
Bybit,LINK,57130642.4,6160551.69,1325912.0,55804730.4,142816.89,6017734.8,0.02,-0.24,-0.5,-0.99,-3.74,0.59,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:27.188896+00:00
BingX,LINK,33669368.0389791,3632111.7097,645918.0989791,33023449.94,69670.8121,3562440.8976,-0.12,-1.15,-1.05,-2.59,-3.64,9.17,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:27.188896+00:00
Hyperliquid,LINK,28598255.126700003,3084533.8000000003,0.0,28598255.126700003,0.0,3084533.8000000003,0.15,0.01,-0.06,-0.19,-1.43,-1.08,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:27.188896+00:00
KuCoin,LINK,27458228.0292,2960136.7,0.0,27458228.0292,0.0,2960136.7,0.04,-0.05,-0.18,-5.39,-6.86,-14.43,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:27.188896+00:00
OKX,LINK,24739385.4624,2668047.5581214996,2797020.0,21942365.4624,301273.15812149935,2366774.4000000004,0.06,-0.15,-0.22,0.03,-2.06,0.28,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:27.188896+00:00
WhiteBIT,LINK,20425654.6083,2204413.5,0.0,20425654.6083,0.0,2204413.5,0.12,-0.16,-0.25,-0.32,-2.27,1.53,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:27.188896+00:00
LBank,LINK,19875862.81709,2123716.51,0.0,19875862.81709,0.0,2123716.51,0.0,0.0,0.0,0.0,0.0,0.0,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:27.188896+00:00
Bitunix,LINK,11135873.96358,1201005.54,433785.79128,10702088.1723,46784.49,1154221.05,0.01,0.0,0.17,30.71,35.84,27.14,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:27.188896+00:00
Gate,LINK,10906486.704,1176282.0,0.0,10906486.704,0.0,1176282.0,-0.05,-0.25,-0.09,-0.11,-2.47,-6.46,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:27.188896+00:00
MEXC,LINK,10023212.9576,1081339.5624,533620.0,9489592.9576,57545.5624,1023794.0,-0.4,-0.44,0.28,-3.86,-5.88,-14.22,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:27.188896+00:00
CME,LINK,5689982.5,613750.0,0.0,5689982.5,0.0,613750.0,0.03,-0.13,-0.17,-0.06,-1.03,-2.26,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:27.188896+00:00
Kraken,LINK,2763433.5277,297751.7,0.0,2763433.5277,0.0,297751.7,0.0,-0.39,-1.29,-1.72,-3.54,-5.05,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:27.188896+00:00
Lighter,LINK,2087069.338368,225100.8,0.0,2087069.338368,0.0,225100.8,0.03,-0.29,-0.32,-1.6,-6.73,-7.46,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:27.188896+00:00
Bitmex,LINK,1380115.082426,148274.6,927849.433856,452265.64857,99533.3,48741.3,0.04,-0.19,-0.24,0.21,-1.08,0.41,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:27.188896+00:00
Coinbase,LINK,1104185.18666,118947.02,0.0,1104185.18666,0.0,118947.02,0.02,-0.66,-2.71,1.61,-4.27,-13.2,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:27.188896+00:00
CoinEx,LINK,1024989.79135,110490.25,0.0,1024989.79135,0.0,110490.25,0.02,-0.18,-0.51,-0.51,-2.16,-4.27,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:27.188896+00:00
dYdX,LINK,907611.367420995,97765.0,0.0,907611.367420995,0.0,97765.0,0.01,-0.17,-0.2,-0.03,-1.1,-1.25,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:27.188896+00:00
