exchange,symbol,open_interest_usd,open_interest_quantity,open_interest_by_coin_margin,open_interest_by_stable_coin_margin,open_interest_quantity_by_coin_margin,open_interest_quantity_by_stable_coin_margin,open_interest_change_percent_5m,open_interest_change_percent_15m,open_interest_change_percent_30m,open_interest_change_percent_1h,open_interest_change_percent_4h,open_interest_change_percent_24h,api_version,scope,endpoint,path,fetched_at
All,LTC,366171572.6587,6594687.1731,23097066.45,343074506.21,415580.3073,6179106.8658,-0.1,-0.14,-0.41,-0.29,-1.41,1.76,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:31.556182+00:00
Binance,LTC,78824687.2511,1419426.35,6646360.0,72178327.2511,119646.44,1299779.91,-0.03,-0.07,-0.13,-0.34,-1.35,0.89,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:31.556182+00:00
Bybit,LTC,52996862.48,954478.69,2619696.0,50377166.48,47133.79,907344.9,-0.01,-0.04,-0.06,0.0,-1.62,-1.8,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:31.556182+00:00
LBank,LTC,42980653.26868,773868.442,0.0,42980653.26868,0.0,773868.442,0.01,-0.01,-0.1,-0.12,-0.14,-0.05,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:31.556182+00:00
Bitget,LTC,37430153.93952,674076.192,3989119.995,33441033.94452,71682.3,602393.892,-0.12,-0.18,-0.42,0.25,0.63,9.95,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:31.556182+00:00
OKX,LTC,33494529.732999995,603250.2679798524,5633600.0,27860929.732999995,101341.96797985249,501908.29999999993,-0.08,0.02,-0.15,-0.01,-3.75,-0.47,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:31.556182+00:00
BingX,LTC,31475972.349722,567013.3461,1366649.969722,30109322.38,24606.5893,542406.7568,-0.8,-0.93,-2.98,-2.83,-3.16,5.22,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:31.556182+00:00
KuCoin,LTC,18928323.645,340743.9,0.0,18928323.645,0.0,340743.9,-0.07,-0.14,-0.63,0.85,-2.07,-6.28,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:31.556182+00:00
WhiteBIT,LTC,18285052.54,330055.1,0.0,18285052.54,0.0,330055.1,-0.08,-0.1,-0.18,-0.2,-2.22,0.63,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:31.556182+00:00
Hyperliquid,LTC,12567519.13788,226201.32,0.0,12567519.13788,0.0,226201.32,0.01,0.0,0.03,1.13,1.57,4.97,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:31.556182+00:00
MEXC,LTC,10336642.4128,186141.0231,562780.0,9773862.4128,10131.0531,176009.97,0.0,-0.1,0.38,-0.8,-3.42,26.63,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:31.556182+00:00
