exchange,symbol,open_interest_usd,open_interest_quantity,open_interest_by_coin_margin,open_interest_by_stable_coin_margin,open_interest_quantity_by_coin_margin,open_interest_quantity_by_stable_coin_margin,open_interest_change_percent_5m,open_interest_change_percent_15m,open_interest_change_percent_30m,open_interest_change_percent_1h,open_interest_change_percent_4h,open_interest_change_percent_24h,api_version,scope,endpoint,path,fetched_at
All,SOL,5368142181.6324,61376971.0581,148582819.86,5219559361.77,1697540.3402,59679430.7179,0.12,0.2,0.27,0.0,-1.9,5.58,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-22T21:32:34.661584+00:00
Binance,SOL,965171208.2985,11034050.25,52203730.0,912967478.2985,596777.26,10437272.99,0.05,0.16,0.24,-0.02,-2.06,4.45,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-22T21:32:34.661584+00:00
CME,SOL,703495897.5,8044550.0,0.0,703495897.5,0.0,8044550.0,0.11,0.21,0.35,0.17,-0.47,2.0,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-22T21:32:34.661584+00:00
Bybit,SOL,598593063.43,6845440.44,11306290.0,587286773.43,129244.28,6716196.16,0.03,0.12,0.14,-0.01,-2.45,8.06,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-22T21:32:34.661584+00:00
Bitget,SOL,423933038.696,4846994.54,13702374.9603,410230663.7357,156616.47,4690378.07,0.25,0.36,0.58,0.38,0.31,11.97,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-22T21:32:34.661584+00:00
KuCoin,SOL,370262563.5156,4230945.1,30483238.0,339779325.5156,347672.6,3883272.5,0.12,0.2,0.78,0.57,-2.77,6.98,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-22T21:32:34.661584+00:00
Gate,SOL,339885302.8,3886180.0,0.0,339885302.8,0.0,3886180.0,0.04,0.19,0.36,-0.14,-4.35,5.14,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-22T21:32:34.661584+00:00
Hyperliquid,SOL,298501742.2926599,3413047.7399999984,0.0,298501742.2926599,0.0,3413047.7399999984,-0.36,-0.24,0.28,0.23,-1.69,0.35,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-22T21:32:34.661584+00:00
OKX,SOL,271872481.49280024,3109008.24223035,23756450.0,248116031.49280024,271440.24223034736,2837568.000000003,0.09,0.26,0.36,0.17,0.12,17.06,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-22T21:32:34.661584+00:00
BingX,SOL,267263877.98081,3056153.8739,4746360.38081,262517517.6,54262.723,3001891.1509,-0.03,0.19,0.29,0.01,-3.21,17.5,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-22T21:32:34.661584+00:00
LBank,SOL,220314563.2088,2519032.28,0.0,220314563.2088,0.0,2519032.28,0.12,0.15,0.1,-0.03,0.22,0.37,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-22T21:32:34.661584+00:00
WhiteBIT,SOL,203408674.87368,2326052.91,0.0,203408674.87368,0.0,2326052.91,0.08,0.21,0.25,0.0,-1.61,7.43,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-22T21:32:34.661584+00:00
HTX,SOL,202813194.8859,2319437.0,0.0,202813194.8859,0.0,2319437.0,0.12,0.22,0.39,0.13,-0.67,2.49,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-22T21:32:34.661584+00:00
MEXC,SOL,152562393.716,1744329.625,4306120.0,148256273.716,49218.425,1695111.2,1.34,-0.34,-2.17,-3.88,-9.25,-8.53,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-22T21:32:34.661584+00:00
Aster,SOL,140735158.8846,1609139.19,0.0,140735158.8846,0.0,1609139.19,0.03,0.21,0.36,0.17,-1.45,3.34,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-22T21:32:34.661584+00:00
Bitunix,SOL,100700845.6789,1151508.16,2610969.1956,98089876.4833,29846.47,1121661.69,1.72,2.3,0.67,0.59,-3.44,8.74,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-22T21:32:34.661584+00:00
Coinbase,SOL,30185558.77735,344780.797,0.0,30185558.77735,0.0,344780.797,0.14,0.19,0.52,0.12,-2.27,5.21,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-22T21:32:34.661584+00:00
Lighter,SOL,22956156.037872,262470.06,0.0,22956156.037872,0.0,262470.06,0.07,0.21,0.55,0.28,-2.51,4.62,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-22T21:32:34.661584+00:00
Kraken,SOL,17500119.6564,199887.69,0.0,17500119.6564,0.0,199887.69,0.09,0.22,0.22,0.03,-0.2,-16.44,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-22T21:32:34.661584+00:00
dYdX,SOL,14832936.3100461,169450.5,0.0,14832936.3100461,0.0,169450.5,0.12,0.22,0.4,0.19,-0.13,3.77,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-22T21:32:34.661584+00:00
CoinEx,SOL,9313525.041,106391.65,0.0,9313525.041,0.0,106391.65,-0.27,-0.21,0.04,-0.08,1.38,-1.06,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-22T21:32:34.661584+00:00
Bitmex,SOL,8111959.120465545,92681.51,5467287.325865545,2644671.7946,62461.87,30219.64,0.11,0.2,0.42,0.05,-1.21,2.41,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-22T21:32:34.661584+00:00
Crypto.com,SOL,5727919.435,65439.5,0.0,5727919.435,0.0,65439.5,0.03,0.21,0.32,0.05,-3.26,-2.86,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-22T21:32:34.661584+00:00
All,SOL,5257685610.5244,60668638.4177,147869619.1,5109815991.43,1713665.5481,58954972.8696,-0.03,-0.08,-0.17,-0.64,-1.8,1.85,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:20.217744+00:00
Binance,SOL,943781566.7888,10887498.86,51829020.0,891952546.7888,597759.68,10289739.18,-0.03,-0.13,-0.25,-1.15,-1.99,-0.02,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:20.217744+00:00
CME,SOL,697221148.5,8044550.0,0.0,697221148.5,0.0,8044550.0,-0.01,-0.08,-0.28,-0.12,-0.59,-0.31,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:20.217744+00:00
Bybit,SOL,578011790.13,6669703.62,11188540.0,566823250.13,129034.02,6540669.6,-0.36,-0.47,-0.79,-1.38,-3.26,2.32,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:20.217744+00:00
Bitget,SOL,415669017.4334,4796003.5,14041659.436,401627357.9974,161770.27,4634233.23,0.09,0.05,-0.67,-0.08,-1.41,7.7,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:20.217744+00:00
