exchange,symbol,open_interest_usd,open_interest_quantity,open_interest_by_coin_margin,open_interest_by_stable_coin_margin,open_interest_quantity_by_coin_margin,open_interest_quantity_by_stable_coin_margin,open_interest_change_percent_5m,open_interest_change_percent_15m,open_interest_change_percent_30m,open_interest_change_percent_1h,open_interest_change_percent_4h,open_interest_change_percent_24h,api_version,scope,endpoint,path,fetched_at
All,TRX,339352289.5512,1030570320.9272,7555473.65,331796815.9,22937038.5884,1007633282.3388,0.0,-0.11,-0.17,-0.66,-0.84,-3.98,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:29.930940+00:00
Binance,TRX,119927200.56896,364203906.78,3522380.0,116404820.56896,10690724.78,353513182.0,-0.01,-0.1,0.06,0.15,0.21,-0.72,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:29.930940+00:00
Bybit,TRX,41006773.95,124530632.0,0.0,41006773.95,0.0,124530632.0,-0.02,-0.24,-0.3,-0.46,-2.3,-3.45,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:29.930940+00:00
Bitget,TRX,33217119.87548,100865481.0,3733093.65485,29484026.22063,11334731.0,89530750.0,-0.09,-0.07,-0.24,1.36,2.47,11.94,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:29.930940+00:00
BingX,TRX,32367383.24,98291391.5388,0.0,32367383.24,0.0,98291391.5388,0.21,-0.14,-0.94,-6.5,-7.29,-28.39,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:29.930940+00:00
WhiteBIT,TRX,24537755.515086,74567658.0,0.0,24537755.515086,0.0,74567658.0,-0.02,-0.12,0.04,0.04,-0.25,-1.38,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:29.930940+00:00
KuCoin,TRX,19307727.585,58609500.0,0.0,19307727.585,0.0,58609500.0,-0.05,-0.13,-0.67,-0.78,1.83,-6.76,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:29.930940+00:00
MEXC,TRX,16064082.9123,48783970.0,0.0,16064082.9123,0.0,48783970.0,-0.03,-0.11,-0.09,-0.82,-5.61,7.24,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:29.930940+00:00
OKX,TRX,15825156.928000007,48056960.000000015,0.0,15825156.928000007,0.0,48056960.000000015,-0.04,-0.14,-0.09,-0.96,-3.48,-4.33,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:29.930940+00:00
Hyperliquid,TRX,14911441.5072,45284990.0,0.0,14911441.5072,0.0,45284990.0,-0.02,-0.08,0.01,-0.42,0.15,-9.6,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:29.930940+00:00
Gate,TRX,6759095.408,20524400.0,0.0,6759095.408,0.0,20524400.0,-0.04,-0.04,0.03,-0.27,0.85,-4.63,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:29.930940+00:00
Bitunix,TRX,6428232.75926,19521494.0,0.0,6428232.75926,0.0,19521494.0,-0.01,0.26,-0.17,0.18,11.71,17.08,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:29.930940+00:00
CoinEx,TRX,2771396.511,8413465.0,0.0,2771396.511,0.0,8413465.0,-0.03,-0.12,-0.03,0.06,-0.09,-4.54,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:29.930940+00:00
HTX,TRX,2397217.4254,7281882.808354358,300000.0,2097217.4254,911582.8083543587,6370300.0,-0.11,-0.15,-0.11,-0.25,0.52,1.01,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:29.930940+00:00
Lighter,TRX,1647849.062088,5003944.8,0.0,1647849.062088,0.0,5003944.8,-0.03,-0.12,-0.05,1.32,1.19,-5.55,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:29.930940+00:00
Kraken,TRX,963637.191166,2924038.0,0.0,963637.191166,0.0,2924038.0,-0.07,-0.15,0.01,-0.39,-0.9,8.42,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:29.930940+00:00
Aster,TRX,668352.22947,2031651.0,0.0,668352.22947,0.0,2031651.0,0.0,0.0,0.0,1.36,1.51,0.64,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:29.930940+00:00
dYdX,TRX,279492.683588982,847800.0,0.0,279492.683588982,0.0,847800.0,-0.06,-0.06,0.0,0.06,0.29,-2.43,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:29.930940+00:00
LBank,TRX,272374.19924,827156.0,0.0,272374.19924,0.0,827156.0,-0.03,-0.11,-0.03,-0.18,0.12,10.73,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:29.930940+00:00
All,TRX,302675058.7564,924002664.6168,7042109.59,295632949.17,21490077.7312,902512586.8856,-0.07,-0.2,-0.57,-0.57,-0.87,-8.08,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-24T04:29:28.186323+00:00
Binance,TRX,120601489.10436,368175899.97,3453330.0,117148159.10436,10537118.97,357638781.0,-0.04,-0.12,-0.45,-0.4,-0.39,0.45,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-24T04:29:28.186323+00:00
Bybit,TRX,40180821.31,122666633.0,0.0,40180821.31,0.0,122666633.0,-0.01,-0.16,-0.27,-0.48,-0.46,-1.56,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-24T04:29:28.186323+00:00
Bitget,TRX,28784139.50201,87873715.0,3288719.59094,25495419.91107,10036682.0,77837033.0,-0.33,-0.29,-1.1,-1.01,-2.78,-11.14,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-24T04:29:28.186323+00:00
WhiteBIT,TRX,24519617.006958,74879577.0,0.0,24519617.006958,0.0,74879577.0,-0.03,-0.07,-0.39,-0.33,-0.46,-0.05,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-24T04:29:28.186323+00:00
KuCoin,TRX,19293760.057,58870900.0,0.0,19293760.057,0.0,58870900.0,0.0,-0.07,-0.62,-0.42,-0.22,0.38,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-24T04:29:28.186323+00:00
OKX,TRX,14966592.732000006,45685570.00000002,0.0,14966592.732000006,0.0,45685570.00000002,-0.03,-0.13,-0.33,-0.27,-1.0,-4.62,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-24T04:29:28.186323+00:00
Hyperliquid,TRX,14755646.41936,45047156.0,0.0,14755646.41936,0.0,45047156.0,-0.03,-0.11,-0.34,-0.21,-0.46,-0.62,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-24T04:29:28.186323+00:00
BingX,TRX,12305149.37,37563799.2856,0.0,12305149.37,0.0,37563799.2856,0.49,0.55,0.18,0.42,-0.53,-47.62,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-24T04:29:28.186323+00:00
MEXC,TRX,8315773.6539,25386900.0,0.0,8315773.6539,0.0,25386900.0,-1.13,-3.23,-4.28,-4.19,-5.07,-47.66,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-24T04:29:28.186323+00:00
Gate,TRX,6372155.704,19453400.0,0.0,6372155.704,0.0,19453400.0,-0.02,-0.12,-0.28,-1.55,-0.91,-5.43,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-24T04:29:28.186323+00:00
Bitunix,TRX,5223770.63388,15947523.0,0.0,5223770.63388,0.0,15947523.0,-0.38,-0.68,-0.88,-1.67,-3.21,-21.52,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-24T04:29:28.186323+00:00
HTX,TRX,2399434.645,7326776.761203059,300060.0,2099374.645,916276.7612030586,6410500.0,-0.02,-0.1,-0.28,-0.01,-0.34,-0.09,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-24T04:29:28.186323+00:00
Lighter,TRX,1627874.08056,4969090.6,0.0,1627874.08056,0.0,4969090.6,0.0,-0.09,-0.31,-0.19,-1.4,-0.96,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-24T04:29:28.186323+00:00
CoinEx,TRX,1128364.218,3444330.0,0.0,1128364.218,0.0,3444330.0,-0.03,-0.12,-0.33,-0.15,0.46,-59.24,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-24T04:29:28.186323+00:00
Kraken,TRX,1025833.56502,3129335.0,0.0,1025833.56502,0.0,3129335.0,-0.03,-0.16,-0.46,-1.0,-0.65,9.77,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-24T04:29:28.186323+00:00
Aster,TRX,656405.736,2001237.0,0.0,656405.736,0.0,2001237.0,0.0,0.0,-0.15,0.0,0.02,-0.3,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-24T04:29:28.186323+00:00
dYdX,TRX,262308.997204215,799500.0,0.0,262308.997204215,0.0,799500.0,0.0,-0.08,-0.28,-0.15,-0.22,-6.09,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-24T04:29:28.186323+00:00
LBank,TRX,255922.0211,781322.0,0.0,255922.0211,0.0,781322.0,-0.03,-0.11,-0.34,-0.22,-4.58,-1.66,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-24T04:29:28.186323+00:00
