exchange,symbol,open_interest_usd,open_interest_quantity,open_interest_by_coin_margin,open_interest_by_stable_coin_margin,open_interest_quantity_by_coin_margin,open_interest_quantity_by_stable_coin_margin,open_interest_change_percent_5m,open_interest_change_percent_15m,open_interest_change_percent_30m,open_interest_change_percent_1h,open_interest_change_percent_4h,open_interest_change_percent_24h,api_version,scope,endpoint,path,fetched_at
All,XRP,2574317551.3631,1803736191.4125,182471659.32,2391845892.04,127848437.4887,1675887753.9238,0.01,-0.02,0.25,0.29,-0.83,-0.13,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:22.713201+00:00
CME,XRP,590867726.75,413947500.0,0.0,590867726.75,0.0,413947500.0,0.01,-0.03,-0.04,0.03,-0.66,-0.61,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:22.713201+00:00
Binance,XRP,479953267.41459,336326976.75,55039710.0,424913557.41459,38554219.65,297772757.1,0.0,-0.06,0.14,-0.17,-1.43,0.04,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:22.713201+00:00
Bitget,XRP,279062823.3912,195468236.0,47852005.0632,231210818.328,33487295.0,161980941.0,0.05,0.22,0.59,-0.61,-1.9,9.17,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:22.713201+00:00
Bybit,XRP,258081562.82,180817772.99,34905200.0,223176362.82,24446841.29,156370931.7,0.03,-0.13,-0.32,-1.41,-3.75,-1.73,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:22.713201+00:00
KuCoin,XRP,135503078.2095,94986125.77,18564594.0,116938484.2095,13078262.77,81907863.0,0.04,0.11,0.1,4.17,-1.58,-10.07,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:22.713201+00:00
Gate,XRP,121266280.044,84956060.0,0.0,121266280.044,0.0,84956060.0,0.06,0.01,0.3,1.46,2.22,5.65,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:22.713201+00:00
LBank,XRP,112687796.52158,78951724.6,0.0,112687796.52158,0.0,78951724.6,0.02,-0.05,-0.03,-0.21,-0.84,-0.66,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:22.713201+00:00
OKX,XRP,95493546.76200001,66954937.308036976,9407300.0,86086246.76200001,6585900.308036964,60369037.00000001,0.06,-0.02,-0.05,-0.53,-3.24,0.29,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:22.713201+00:00
WhiteBIT,XRP,89721824.040368,62892949.6,0.0,89721824.040368,0.0,62892949.6,0.02,-0.02,0.21,-0.23,-1.94,0.01,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:22.713201+00:00
Hyperliquid,XRP,83144489.115,58244826.0,0.0,83144489.115,0.0,58244826.0,0.42,0.43,1.93,6.7,6.78,7.75,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:22.713201+00:00
HTX,XRP,82923617.2095,58132703.00003503,454680.0,82468937.2095,318593.00003503484,57814110.0,0.0,-0.07,-0.07,-0.16,-0.78,-0.57,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:22.713201+00:00
MEXC,XRP,74118036.2258,51924764.9241,4572770.0,69545266.2258,3203565.9241,48721199.0,-0.89,-0.6,-0.04,-0.83,3.23,-0.1,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:22.713201+00:00
BingX,XRP,59004974.6051581,41346602.7303,4082144.4751581,54922830.13,2859846.2065,38486756.5238,0.0,0.14,5.17,5.78,9.52,-14.87,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:22.713201+00:00
Aster,XRP,36899226.13248,25854278.4,0.0,36899226.13248,0.0,25854278.4,0.02,0.18,0.22,0.57,0.93,1.44,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:22.713201+00:00
Bitunix,XRP,35013734.31016,24529025.9,4287277.52464,30726456.78552,3003136.4,21525889.5,-0.1,-1.24,0.82,-0.13,-2.65,-9.61,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:22.713201+00:00
Kraken,XRP,13148189.68972,9202819.97,37174.0,13111015.68972,25677.97,9177142.0,0.02,-0.05,-0.14,0.12,-1.57,2.03,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:22.713201+00:00
Coinbase,XRP,7883196.5667,5517741.0,0.0,7883196.5667,0.0,5517741.0,0.05,0.11,-0.1,-1.88,-2.18,-12.78,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:22.713201+00:00
Lighter,XRP,5210956.505574,3650814.0,0.0,5210956.505574,0.0,3650814.0,0.03,-0.03,-0.24,0.04,-2.92,-1.12,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:22.713201+00:00
Bitmex,XRP,5134910.098623,3591785.97,3268804.260183,1866105.83844,2285098.97,1306687.0,0.07,0.04,0.76,2.9,1.63,5.26,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:22.713201+00:00
CoinEx,XRP,3725975.1623,2608329.5,0.0,3725975.1623,0.0,2608329.5,0.01,0.86,1.17,-11.58,-15.22,-22.64,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:22.713201+00:00
dYdX,XRP,3576794.187406293,2502990.0,0.0,3576794.187406293,0.0,2502990.0,0.0,-0.06,-0.18,-0.18,-0.83,-0.19,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:22.713201+00:00
Crypto.com,XRP,1895545.6014,1327227.0,0.0,1895545.6014,0.0,1327227.0,0.08,0.25,0.14,-1.13,-1.29,4.9,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-23T01:09:22.713201+00:00
All,XRP,2533038270.6151,1775230646.9668,179615675.5,2353422595.11,125801395.4167,1649429251.5501,-0.19,0.01,0.15,-0.15,-1.17,-0.99,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-24T04:29:14.243964+00:00
CME,XRP,573676170.75,402072500.0,0.0,573676170.75,0.0,402072500.0,-0.17,-0.16,-0.23,-0.32,-0.77,-2.1,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-24T04:29:14.243964+00:00
Binance,XRP,476093291.82626,333631202.95,55399860.0,420693431.82626,38811766.25,294819436.7,-0.15,-0.04,-0.08,-0.38,-0.92,-0.26,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-24T04:29:14.243964+00:00
Bybit,XRP,269497600.79,188870951.55,33972544.0,235525056.79,23801964.55,165068987.0,-0.21,1.1,2.08,2.13,1.25,5.75,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-24T04:29:14.243964+00:00
Bitget,XRP,256859061.4028,179998330.0,44785618.4325,212073442.9703,31373463.0,148624867.0,-0.56,-0.03,0.15,-0.98,-3.21,-5.4,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-24T04:29:14.243964+00:00
KuCoin,XRP,141146985.0087,98859370.63,18185084.0,122961901.0087,12715063.63,86144307.0,-0.08,0.45,0.67,-1.45,-3.96,2.76,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-24T04:29:14.243964+00:00
Gate,XRP,121093136.58,84858540.0,0.0,121093136.58,0.0,84858540.0,-0.14,0.27,0.22,0.16,-0.54,-1.05,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-24T04:29:14.243964+00:00
LBank,XRP,112881759.06562,79109789.8,0.0,112881759.06562,0.0,79109789.8,-0.18,-0.19,-0.14,-0.24,-0.62,0.93,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-24T04:29:14.243964+00:00
OKX,XRP,93911203.89000003,65846217.38762081,9411770.0,84499433.89000003,6589952.387620782,59256265.00000002,-0.26,-0.34,-0.47,-1.29,0.07,-0.09,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-24T04:29:14.243964+00:00
WhiteBIT,XRP,88433202.464325,62024872.5,0.0,88433202.464325,0.0,62024872.5,-0.16,-0.18,-0.21,-0.69,-0.91,-0.71,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-24T04:29:14.243964+00:00
Hyperliquid,XRP,83923702.5504,58819528.0,0.0,83923702.5504,0.0,58819528.0,-0.18,-0.19,-0.26,-0.33,-1.24,-1.41,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-24T04:29:14.243964+00:00
HTX,XRP,83242116.294,58370260.080169305,467650.0,82774466.294,327720.0801693086,58042540.0,-0.18,-0.14,-0.14,-0.2,-0.74,0.88,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-24T04:29:14.243964+00:00
MEXC,XRP,72295510.7863,50663804.2014,5194580.0,67100930.7863,3638935.2014,47024869.0,0.14,-2.09,-1.07,1.13,-4.5,-5.96,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-24T04:29:14.243964+00:00
BingX,XRP,42888362.55941825,30063882.7076,3804279.91941825,39084082.64,2665741.6575,27398141.0501,0.34,0.46,0.39,-0.75,-8.18,-26.59,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-24T04:29:14.243964+00:00
Aster,XRP,36925117.36023,25881486.9,0.0,36925117.36023,0.0,25881486.9,-0.19,-0.14,-0.28,-0.01,-1.06,0.93,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-24T04:29:14.243964+00:00
Bitunix,XRP,36669102.46318,25698151.9,5116832.067,31552270.39618,3584470.8,22113681.1,-0.27,-0.94,-0.86,0.03,2.35,9.9,v4,snapshot,oi_exchange,futures/open-interest/exchange-list,2026-04-24T04:29:14.243964+00:00
